,play_id,game_id,play_num,team_id_for,team_id_against,event,secondaryType,x,y,period,periodType,periodTime,periodTimeRemaining,dateTime,goals_away,goals_home,description,st_x,st_y,rink_side,player_id,firstName,lastName,primaryPosition,birthDate,season,distance,assist,distance_bin,fullName
253,2015020230_265,2015020230,265,21.0,6.0,Goal,Wrist Shot,-72.0,3.0,3,REGULAR,409,791,2015-11-13 02:17:58,3,2,"Matt Duchene (7) Wrist Shot, assists: Mikhail Grigorenko (3)",72.0,-3.0,right,8475168,Matt,Duchene,C,1991-01-16,20152016,17.26267650163207,Mikhail Grigorenko,"(15.0ft, 20.0ft)",Matt Duchene
990,2014020233_70,2014020233,70,21.0,3.0,Goal,Snap Shot,84.0,-7.0,1,REGULAR,909,291,2014-11-14 00:33:50,1,0,"Matt Duchene (5) Snap Shot, assists: Tyson Barrie (10), Ryan O'Reilly (8)",84.0,-7.0,left,8475168,Matt,Duchene,C,1991-01-16,20142015,8.602325267042627,Tyson Barrie,"(5.0ft, 10.0ft)",Matt Duchene
1550,2017020048_192,2017020048,192,21.0,6.0,Goal,Wrist Shot,60.0,-19.0,2,REGULAR,943,257,2017-10-12 03:16:28,1,4,"Matt Duchene (2) Wrist Shot, assists: Nail Yakupov (2)",60.0,-19.0,left,8475168,Matt,Duchene,C,1991-01-16,20172018,34.66987164671943,Nail Yakupov,"(30.0ft, 35.0ft)",Matt Duchene
5107,2017021093_303,2017021093,303,9.0,25.0,Goal,Wrist Shot,86.0,-6.0,3,REGULAR,1010,190,2018-03-17 01:59:15,1,2,"Matt Duchene (22) Wrist Shot, assists: Erik Karlsson (47), Mike Hoffman (29)",86.0,-6.0,left,8475168,Matt,Duchene,C,1991-01-16,20172018,6.708203932499369,Erik Karlsson,"(5.0ft, 10.0ft)",Matt Duchene
5112,2016020540_73,2016020540,73,21.0,25.0,Goal,Tip-In,81.0,3.0,1,REGULAR,948,252,2016-12-30 02:06:16,1,2,"Matt Duchene (13) Tip-In, assists: Mikko Rantanen (11), Tyson Barrie (15)",81.0,3.0,left,8475168,Matt,Duchene,C,1991-01-16,20162017,8.54400374531753,Mikko Rantanen,"(5.0ft, 10.0ft)",Matt Duchene
5126,2017021017_266,2017021017,266,9.0,25.0,Goal,Wrist Shot,70.0,18.0,3,REGULAR,396,804,2018-03-06 03:39:47,2,1,"Matt Duchene (19) Wrist Shot, assists: Erik Karlsson (42), Mark Borowiecki (6)",70.0,18.0,left,8475168,Matt,Duchene,C,1991-01-16,20172018,26.1725046566048,Erik Karlsson,"(25.0ft, 30.0ft)",Matt Duchene
5521,2017020069_241,2017020069,241,21.0,25.0,Goal,Wrist Shot,72.0,19.0,3,REGULAR,86,1114,2017-10-15 02:05:15,1,2,"Matt Duchene (3) Wrist Shot, assists: Tyson Barrie (3), Colin Wilson (1)",72.0,19.0,left,8475168,Matt,Duchene,C,1991-01-16,20172018,25.495097567963924,Tyson Barrie,"(25.0ft, 30.0ft)",Matt Duchene
7403,2015020280_110,2015020280,110,21.0,5.0,Goal,Wrist Shot,-79.0,-6.0,1,REGULAR,1174,26,2015-11-20 00:45:53,1,0,"Matt Duchene (9) Wrist Shot, assists: Jarome Iginla (7), Tyson Barrie (11)",79.0,6.0,right,8475168,Matt,Duchene,C,1991-01-16,20152016,11.661903789690601,Jarome Iginla,"(10.0ft, 15.0ft)",Matt Duchene
7404,2015020280_323,2015020280,323,21.0,5.0,Goal,Wrist Shot,-80.0,5.0,3,REGULAR,1117,83,2015-11-20 02:33:45,3,4,"Matt Duchene (10) Wrist Shot, assists: Gabriel Landeskog (8), Mikhail Grigorenko (6)",80.0,-5.0,right,8475168,Matt,Duchene,C,1991-01-16,20152016,10.295630140987,Gabriel Landeskog,"(10.0ft, 15.0ft)",Matt Duchene
8177,2015020626_108,2015020626,108,21.0,16.0,Goal,Wrist Shot,-72.0,14.0,2,REGULAR,310,890,2016-01-11 01:06:13,1,3,"Matt Duchene (20) Wrist Shot, assists: Carl Soderberg (22), Gabriel Landeskog (21)",72.0,-14.0,right,8475168,Matt,Duchene,C,1991-01-16,20152016,22.02271554554524,Carl Soderberg,"(20.0ft, 25.0ft)",Matt Duchene
