,play_id,game_id,play_num,team_id_for,team_id_against,event,secondaryType,x,y,period,periodType,periodTime,periodTimeRemaining,dateTime,goals_away,goals_home,description,st_x,st_y,rink_side,player_id,firstName,lastName,primaryPosition,birthDate,season,distance,assist,distance_bin,fullName
406,2012020592_119,2012020592,119,10.0,3.0,Goal,Slap Shot,-78.0,5.0,2,REGULAR,102,1098,2013-04-11 00:05:56,1,0,"Phil Kessel (13) Slap Shot, assists: none",78.0,-5.0,right,8473548,Phil,Kessel,RW,1987-10-02,20122013,12.083045973594572,None,"(10.0ft, 15.0ft)",Phil Kessel
407,2012020592_251,2012020592,251,10.0,3.0,Goal,Snap Shot,86.0,-6.0,3,REGULAR,485,715,2013-04-11 01:12:51,2,2,"Phil Kessel (14) Snap Shot, assists: James van Riemsdyk (12)",86.0,-6.0,left,8473548,Phil,Kessel,RW,1987-10-02,20122013,6.708203932499369,James van,"(5.0ft, 10.0ft)",Phil Kessel
897,2012020578_247,2012020578,247,10.0,3.0,Goal,Wrist Shot,60.0,30.0,2,REGULAR,1158,42,2013-04-09 00:39:57,1,3,"Phil Kessel (11) Wrist Shot, assists: Dion Phaneuf (17), Cody Franson (19)",60.0,30.0,left,8473548,Phil,Kessel,RW,1987-10-02,20122013,41.72529209005013,Dion Phaneuf,"(40.0ft, 45.0ft)",Phil Kessel
898,2012020578_313,2012020578,313,10.0,3.0,Goal,Wrist Shot,-82.0,-4.0,3,REGULAR,579,621,2013-04-09 01:18:27,3,4,"Phil Kessel (12) Wrist Shot, assists: Tyler Bozak (14), James van Riemsdyk (11)",82.0,4.0,right,8473548,Phil,Kessel,RW,1987-10-02,20122013,8.06225774829855,Tyler Bozak,"(5.0ft, 10.0ft)",Phil Kessel
1422,2014020547_162,2014020547,162,10.0,6.0,Goal,Snap Shot,65.0,27.0,2,REGULAR,585,615,2015-01-01 01:27:14,3,1,"Phil Kessel (18) Snap Shot, assists: Dion Phaneuf (18), Cody Franson (18)",65.0,27.0,left,8473548,Phil,Kessel,RW,1987-10-02,20142015,36.124783736376884,Dion Phaneuf,"(35.0ft, 40.0ft)",Phil Kessel
1446,2017020983_61,2017020983,61,5.0,6.0,Goal,Snap Shot,-84.0,12.0,1,REGULAR,567,633,2018-03-02 00:31:51,2,3,"Phil Kessel (27) Snap Shot, assists: Patric Hornqvist (16), Evgeni Malkin (42)",84.0,-12.0,right,8473548,Phil,Kessel,RW,1987-10-02,20172018,13.0,Patric Hornqvist,"(10.0ft, 15.0ft)",Phil Kessel
1751,2016020728_79,2016020728,79,5.0,6.0,Goal,Snap Shot,-63.0,-18.0,1,REGULAR,686,514,2017-01-27 00:30:50,2,0,"Phil Kessel (15) Snap Shot, assists: Sidney Crosby (27), Justin Schultz (27)",63.0,18.0,right,8473548,Phil,Kessel,RW,1987-10-02,20162017,31.622776601683793,Sidney Crosby,"(30.0ft, 35.0ft)",Phil Kessel
2170,2017020650_59,2017020650,59,5.0,6.0,Goal,Wrist Shot,56.0,16.0,1,REGULAR,664,536,2018-01-08 01:01:36,1,2,"Phil Kessel (18) Wrist Shot, assists: Sidney Crosby (26), Evgeni Malkin (25)",56.0,16.0,left,8473548,Phil,Kessel,RW,1987-10-02,20172018,36.6742416417845,Sidney Crosby,"(35.0ft, 40.0ft)",Phil Kessel
2367,2015030314_240,2015030314,240,5.0,14.0,Goal,Snap Shot,-50.0,24.0,3,REGULAR,78,1122,2016-05-21 02:21:16,1,4,"Phil Kessel (8) Snap Shot, assists: Nick Bonino (11), Brian Dumoulin (6)",50.0,-24.0,right,8473548,Phil,Kessel,RW,1987-10-02,20152016,45.79301256742124,Nick Bonino,"(45.0ft, 50.0ft)",Phil Kessel
2815,2015030145_75,2015030145,75,5.0,3.0,Goal,Snap Shot,69.0,-26.0,1,REGULAR,699,501,2016-04-23 19:43:59,2,2,"Phil Kessel (3) Snap Shot, assists: Sidney Crosby (4), Kris Letang (4)",69.0,-26.0,left,8473548,Phil,Kessel,RW,1987-10-02,20152016,32.802438933713454,Sidney Crosby,"(30.0ft, 35.0ft)",Phil Kessel
2941,2016020290_166,2016020290,166,5.0,3.0,Goal,Wrist Shot,-68.0,18.0,2,REGULAR,612,588,2016-11-24 01:20:27,3,1,"Phil Kessel (5) Wrist Shot, assists: Nick Bonino (6)",68.0,-18.0,right,8473548,Phil,Kessel,RW,1987-10-02,20162017,27.65863337187866,Nick Bonino,"(25.0ft, 30.0ft)",Phil Kessel
3048,2014020204_65,2014020204,65,10.0,3.0,Goal,Snap Shot,-83.0,-6.0,1,REGULAR,507,693,2014-11-09 00:40:00,1,1,"Phil Kessel (8) Snap Shot, assists: James van Riemsdyk (5), Dion Phaneuf (5)",83.0,6.0,right,8473548,Phil,Kessel,RW,1987-10-02,20142015,8.48528137423857,James van,"(5.0ft, 10.0ft)",Phil Kessel
3060,2014020033_139,2014020033,139,10.0,3.0,Goal,Snap Shot,-67.0,-9.0,2,REGULAR,319,881,2014-10-13 00:19:19,2,1,"Phil Kessel (1) Snap Shot, assists: Dion Phaneuf (2), Cody Franson (1)",67.0,9.0,right,8473548,Phil,Kessel,RW,1987-10-02,20142015,23.769728648009426,Dion Phaneuf,"(20.0ft, 25.0ft)",Phil Kessel
3163,2016021150_363,2016021150,363,5.0,3.0,Goal,Wrist Shot,78.0,4.0,5,SHOOTOUT,0,300,2017-04-01 01:51:20,3,3,Phil Kessel - Wrist Shot,78.0,4.0,,8473548,Phil,Kessel,RW,1987-10-02,20162017,11.704699910719626,hil Kessel,"(10.0ft, 15.0ft)",Phil Kessel
3462,2012030142_268,2012030142,268,10.0,6.0,Goal,Wrist Shot,-71.0,0.0,3,REGULAR,53,1147,2013-05-05 01:12:14,3,1,"Phil Kessel (1) Wrist Shot, assists: Nazem Kadri (1), Ryan Hamilton (1)",71.0,0.0,right,8473548,Phil,Kessel,RW,1987-10-02,20122013,18.0,Nazem Kadri,"(15.0ft, 20.0ft)",Phil Kessel
3695,2012030146_346,2012030146,346,10.0,6.0,Goal,Backhand,-78.0,-5.0,3,REGULAR,539,661,2013-05-13 01:50:19,0,2,"Phil Kessel (3) Backhand, assists: James van Riemsdyk (3), Cody Franson (3)",78.0,5.0,right,8473548,Phil,Kessel,RW,1987-10-02,20122013,12.083045973594572,James van,"(10.0ft, 15.0ft)",Phil Kessel
3701,2012030147_241,2012030147,241,10.0,6.0,Goal,Snap Shot,-84.0,-5.0,3,REGULAR,129,1071,2013-05-14 01:02:53,3,1,"Phil Kessel (4) Snap Shot, assists: Nazem Kadri (3), James van Riemsdyk (5)",84.0,5.0,right,8473548,Phil,Kessel,RW,1987-10-02,20122013,7.0710678118654755,Nazem Kadri,"(5.0ft, 10.0ft)",Phil Kessel
4119,2012030143_326,2012030143,326,10.0,6.0,Goal,Snap Shot,-74.0,0.0,3,REGULAR,47,1153,2013-05-07 01:14:09,4,2,"Phil Kessel (2) Snap Shot, assists: James van Riemsdyk (1), Cody Franson (2)",74.0,0.0,right,8473548,Phil,Kessel,RW,1987-10-02,20122013,15.0,James van,"(15.0ft, 20.0ft)",Phil Kessel
4265,2015030226_37,2015030226,37,5.0,15.0,Goal,Snap Shot,57.0,28.0,1,REGULAR,341,859,2016-05-11 00:18:00,0,1,"Phil Kessel (4) Snap Shot, assists: Brian Dumoulin (4), Carl Hagelin (3)",57.0,28.0,left,8473548,Phil,Kessel,RW,1987-10-02,20152016,42.5205832509386,Brian Dumoulin,"(40.0ft, 45.0ft)",Phil Kessel
4266,2015030226_173,2015030226,173,5.0,15.0,Goal,Wrist Shot,-78.0,0.0,2,REGULAR,425,775,2016-05-11 01:20:29,0,2,"Phil Kessel (5) Wrist Shot, assists: Kris Letang (7), Chris Kunitz (3)",78.0,0.0,right,8473548,Phil,Kessel,RW,1987-10-02,20152016,11.0,Kris Letang,"(10.0ft, 15.0ft)",Phil Kessel
4273,2015030313_248,2015030313,248,5.0,14.0,Goal,Wrist Shot,-64.0,-7.0,3,REGULAR,316,884,2016-05-19 02:17:05,2,0,"Phil Kessel (7) Wrist Shot, assists: Nick Bonino (10), Carl Hagelin (6)",64.0,7.0,right,8473548,Phil,Kessel,RW,1987-10-02,20152016,25.96150997149434,Nick Bonino,"(25.0ft, 30.0ft)",Phil Kessel
4365,2017020679_185,2017020679,185,5.0,3.0,Goal,Snap Shot,-66.0,14.0,2,REGULAR,870,330,2018-01-15 02:00:14,2,3,"Phil Kessel (20) Snap Shot, assists: Conor Sheary (6)",66.0,-14.0,right,8473548,Phil,Kessel,RW,1987-10-02,20172018,26.92582403567252,Conor Sheary,"(25.0ft, 30.0ft)",Phil Kessel
4411,2017021211_262,2017021211,262,5.0,8.0,Goal,Wrist Shot,83.0,9.0,3,REGULAR,438,762,2018-04-01 01:18:09,2,4,"Phil Kessel (31) Wrist Shot, assists: Sidney Crosby (58), Evgeni Malkin (53)",83.0,9.0,left,8473548,Phil,Kessel,RW,1987-10-02,20172018,10.816653826391969,Sidney Crosby,"(10.0ft, 15.0ft)",Phil Kessel
4422,2017020788_19,2017020788,19,5.0,15.0,Goal,Wrist Shot,85.0,8.0,1,REGULAR,131,1069,2018-02-03 00:10:58,0,1,"Phil Kessel (22) Wrist Shot, assists: Riley Sheahan (13), Jake Guentzel (11)",85.0,8.0,left,8473548,Phil,Kessel,RW,1987-10-02,20172018,8.94427190999916,Riley Sheahan,"(5.0ft, 10.0ft)",Phil Kessel
4423,2017020788_278,2017020788,278,5.0,15.0,Goal,Snap Shot,72.0,-13.0,3,REGULAR,479,721,2018-02-03 02:13:47,4,6,"Phil Kessel (23) Snap Shot, assists: Evgeni Malkin (31), Carl Hagelin (11)",72.0,-13.0,left,8473548,Phil,Kessel,RW,1987-10-02,20172018,21.400934559032695,Evgeni Malkin,"(20.0ft, 25.0ft)",Phil Kessel
4449,2016020687_240,2016020687,240,5.0,12.0,Goal,Snap Shot,-85.0,-15.0,2,REGULAR,1049,151,2017-01-21 01:44:59,5,0,"Phil Kessel (14) Snap Shot, assists: Evgeni Malkin (30), Justin Schultz (24)",85.0,15.0,right,8473548,Phil,Kessel,RW,1987-10-02,20162017,15.524174696260024,Evgeni Malkin,"(15.0ft, 20.0ft)",Phil Kessel
4521,2015021115_182,2015021115,182,5.0,17.0,Goal,Snap Shot,-78.0,23.0,2,REGULAR,911,289,2016-03-26 19:31:44,4,1,"Phil Kessel (22) Snap Shot, assists: Ian Cole (11), Nick Bonino (13)",78.0,-23.0,right,8473548,Phil,Kessel,RW,1987-10-02,20152016,25.495097567963924,Ian Cole,"(25.0ft, 30.0ft)",Phil Kessel
4544,2017020400_291,2017020400,291,5.0,7.0,Goal,Snap Shot,68.0,-12.0,3,REGULAR,794,406,2017-12-03 02:22:40,1,4,"Phil Kessel (12) Snap Shot, assists: Evgeni Malkin (16)",68.0,-12.0,left,8473548,Phil,Kessel,RW,1987-10-02,20172018,24.186773244895647,Evgeni Malkin,"(20.0ft, 25.0ft)",Phil Kessel
4551,2017020082_7,2017020082,7,5.0,3.0,Goal,Snap Shot,67.0,-18.0,1,REGULAR,43,1157,2017-10-17 23:09:50,1,0,"Phil Kessel (2) Snap Shot, assists: Evgeni Malkin (4), Ian Cole (1)",67.0,-18.0,left,8473548,Phil,Kessel,RW,1987-10-02,20172018,28.42534080710379,Evgeni Malkin,"(25.0ft, 30.0ft)",Phil Kessel
5537,2015030316_106,2015030316,106,5.0,14.0,Goal,Tip-In,-72.0,-5.0,1,REGULAR,1126,74,2016-05-25 00:55:39,1,0,"Phil Kessel (9) Tip-In, assists: Sidney Crosby (9), Evgeni Malkin (9)",72.0,5.0,right,8473548,Phil,Kessel,RW,1987-10-02,20152016,17.72004514666935,Sidney Crosby,"(15.0ft, 20.0ft)",Phil Kessel
5841,2015030142_123,2015030142,123,5.0,3.0,Goal,Wrist Shot,-73.0,-1.0,2,REGULAR,201,999,2016-04-16 20:18:18,0,1,"Phil Kessel (1) Wrist Shot, assists: Trevor Daley (2), Nick Bonino (2)",73.0,1.0,right,8473548,Phil,Kessel,RW,1987-10-02,20152016,16.0312195418814,Trevor Daley,"(15.0ft, 20.0ft)",Phil Kessel
