,play_id,game_id,play_num,team_id_for,team_id_against,event,secondaryType,x,y,period,periodType,periodTime,periodTimeRemaining,dateTime,goals_away,goals_home,description,st_x,st_y,rink_side,player_id,firstName,lastName,primaryPosition,birthDate,season,distance,assist,distance_bin,fullName
582,2017020760_56,2017020760,56,28.0,3.0,Goal,Wrist Shot,85.0,10.0,1,REGULAR,656,544,2018-01-26 04:00:44,1,2,"Logan Couture (19) Wrist Shot, assists: Kevin Labanc (19), Joakim Ryan (6)",85.0,10.0,left,8474053,Logan,Couture,C,1989-03-28,20172018,10.770329614269007,Kevin Labanc,"(10.0ft, 15.0ft)",Logan Couture
583,2017020760_111,2017020760,111,28.0,3.0,Goal,Wrist Shot,-65.0,-5.0,2,REGULAR,156,1044,2018-01-26 04:39:21,2,3,"Logan Couture (20) Wrist Shot, assists: Kevin Labanc (20), Marc-Edouard Vlasic (12)",65.0,5.0,right,8474053,Logan,Couture,C,1989-03-28,20172018,24.515301344262525,Kevin Labanc,"(20.0ft, 25.0ft)",Logan Couture
1188,2017020678_81,2017020678,81,28.0,53.0,Goal,Wrist Shot,70.0,11.0,1,REGULAR,817,383,2018-01-14 04:05:20,2,3,"Logan Couture (17) Wrist Shot, assists: Joonas Donskoi (8), Brent Burns (25)",70.0,11.0,left,8474053,Logan,Couture,C,1989-03-28,20172018,21.95449840010015,Joonas Donskoi,"(20.0ft, 25.0ft)",Logan Couture
1317,2014020079_81,2014020079,81,28.0,6.0,Goal,Tip-In,-43.0,-24.0,1,REGULAR,988,212,2014-10-21 23:40:25,1,1,"Logan Couture (2) Tip-In, assists: Patrick Marleau (4), Brent Burns (7)",43.0,24.0,right,8474053,Logan,Couture,C,1989-03-28,20142015,51.884487084291386,Patrick Marleau,"(50.0ft, 55.0ft)",Logan Couture
1318,2014020079_196,2014020079,196,28.0,6.0,Goal,Wrist Shot,69.0,5.0,2,REGULAR,975,225,2014-10-22 00:35:18,2,2,"Logan Couture (3) Wrist Shot, assists: Patrick Marleau (5), Tommy Wingels (2)",69.0,5.0,left,8474053,Logan,Couture,C,1989-03-28,20142015,20.615528128088304,Patrick Marleau,"(20.0ft, 25.0ft)",Logan Couture
2646,2014020837_181,2014020837,181,28.0,14.0,Goal,Snap Shot,-64.0,-4.0,2,REGULAR,627,573,2015-02-16 02:19:42,2,1,"Logan Couture (21) Snap Shot, assists: Matt Nieto (12), Matt Irwin (6)",64.0,4.0,right,8474053,Logan,Couture,C,1989-03-28,20142015,25.317977802344327,Matt Nieto,"(25.0ft, 30.0ft)",Logan Couture
3212,2016020033_84,2016020033,84,28.0,3.0,Goal,Snap Shot,79.0,4.0,1,REGULAR,1142,58,2016-10-17 23:41:05,1,1,"Logan Couture (2) Snap Shot, assists: Joe Pavelski (2), Joe Thornton (2)",79.0,4.0,left,8474053,Logan,Couture,C,1989-03-28,20162017,10.770329614269007,Joe Pavelski,"(10.0ft, 15.0ft)",Logan Couture
4337,2015030415_24,2015030415,24,28.0,5.0,Goal,Tip-In,-81.0,5.0,1,REGULAR,173,1027,2016-06-10 00:25:44,2,0,"Logan Couture (9) Tip-In, assists: Justin Braun (5)",81.0,-5.0,right,8474053,Logan,Couture,C,1989-03-28,20152016,9.433981132056603,Justin Braun,"(5.0ft, 10.0ft)",Logan Couture
7382,2014021134_181,2014021134,181,28.0,5.0,Goal,Snap Shot,73.0,10.0,2,REGULAR,938,262,2015-03-30 01:04:48,2,2,"Logan Couture (25) Snap Shot, assists: Patrick Marleau (36), Brent Burns (40)",73.0,10.0,left,8474053,Logan,Couture,C,1989-03-28,20142015,18.867962264113206,Patrick Marleau,"(15.0ft, 20.0ft)",Logan Couture
8273,2012020298_234,2012020298,234,28.0,17.0,Goal,Slap Shot,71.0,-27.0,3,REGULAR,289,911,2013-03-01 05:26:28,0,1,"Logan Couture (8) Slap Shot, assists: Joe Thornton (16), Douglas Murray (2)",71.0,-27.0,left,8474053,Logan,Couture,C,1989-03-28,20122013,32.449961479175904,Joe Thornton,"(30.0ft, 35.0ft)",Logan Couture
