,play_id,game_id,play_num,team_id_for,team_id_against,event,secondaryType,x,y,period,periodType,periodTime,periodTimeRemaining,dateTime,goals_away,goals_home,description,st_x,st_y,rink_side,player_id,firstName,lastName,primaryPosition,birthDate,season
1733,2015020954_66,2015020954,66,16.0,6.0,Goal,Wrist Shot,-79.0,7.0,1,REGULAR,854,346,2016-03-04 00:32:05,1,1,"Jonathan Toews (23) Wrist Shot, assists: Andrew Ladd (19), Christian Ehrhoff (9)",79.0,-7.0,right,8473604,Jonathan,Toews,C,1988-04-29,20152016
2020,2015021178_124,2015021178,124,16.0,6.0,Goal,Tip-In,78.0,4.0,2,REGULAR,120,1080,2016-04-03 17:30:47,0,4,"Jonathan Toews (26) Tip-In, assists: Marian Hossa (20), Andrew Ladd (21)",78.0,4.0,left,8473604,Jonathan,Toews,C,1988-04-29,20152016
2790,2014020885_123,2014020885,123,16.0,6.0,Goal,Tip-In,-79.0,4.0,1,REGULAR,1198,2,2015-02-22 21:14:06,2,1,"Jonathan Toews (17) Tip-In, assists: Patrick Kane (37), Duncan Keith (27)",79.0,-4.0,right,8473604,Jonathan,Toews,C,1988-04-29,20142015
3339,2017020276_332,2017020276,332,16.0,3.0,Goal,Wrist Shot,-39.0,5.0,3,REGULAR,1110,90,2017-11-16 03:39:40,3,6,"Jonathan Toews (5) Wrist Shot, assists: Richard Panik (8), Brent Seabrook (6)",39.0,-5.0,right,8473604,Jonathan,Toews,C,1988-04-29,20172018
3400,2017021048_82,2017021048,82,16.0,6.0,Goal,Tip-In,-76.0,0.0,1,REGULAR,867,333,2018-03-10 18:38:19,1,2,"Jonathan Toews (19) Tip-In, assists: Erik Gustafsson (5), Patrick Kane (40)",76.0,0.0,right,8473604,Jonathan,Toews,C,1988-04-29,20172018
3473,2012030414_152,2012030414,152,16.0,6.0,Goal,Tip-In,58.0,-20.0,2,REGULAR,393,807,2013-06-20 01:32:23,2,1,"Jonathan Toews (2) Tip-In, assists: Michal Rozsival (3)",58.0,-20.0,left,8473604,Jonathan,Toews,C,1988-04-29,20122013
3715,2012030416_155,2012030416,155,16.0,6.0,Goal,Snap Shot,75.0,-16.0,2,REGULAR,264,936,2013-06-25 01:26:56,1,1,"Jonathan Toews (3) Snap Shot, assists: none",75.0,-16.0,left,8473604,Jonathan,Toews,C,1988-04-29,20122013
4368,2013020658_132,2013020658,132,16.0,3.0,Goal,Slap Shot,67.0,2.0,2,REGULAR,377,823,2014-01-09 02:12:46,2,1,"Jonathan Toews (16) Slap Shot, assists: Patrick Sharp (22), Duncan Keith (40)",67.0,2.0,left,8473604,Jonathan,Toews,C,1988-04-29,20132014
4611,2013020252_143,2013020252,143,16.0,25.0,Goal,Backhand,-75.0,-2.0,2,REGULAR,619,581,2013-11-10 02:14:59,2,2,"Jonathan Toews (9) Backhand, assists: Patrick Kane (6), Patrick Sharp (9)",75.0,2.0,right,8473604,Jonathan,Toews,C,1988-04-29,20132014
4870,2016020178_252,2016020178,252,16.0,25.0,Goal,Wrist Shot,-78.0,-7.0,3,REGULAR,219,981,2016-11-07 02:13:02,2,2,"Jonathan Toews (4) Wrist Shot, assists: Marian Hossa (5), Duncan Keith (10)",78.0,7.0,right,8473604,Jonathan,Toews,C,1988-04-29,20162017
5242,2017020833_60,2017020833,60,16.0,25.0,Goal,Wrist Shot,-78.0,-10.0,1,REGULAR,547,653,2018-02-09 01:53:29,0,1,"Jonathan Toews (15) Wrist Shot, assists: Brent Seabrook (13)",78.0,10.0,right,8473604,Jonathan,Toews,C,1988-04-29,20172018
5336,2016020781_310,2016020781,310,16.0,25.0,Goal,Wrist Shot,72.0,1.0,3,REGULAR,1199,1,2017-02-05 03:34:30,5,3,"Jonathan Toews (10) Wrist Shot, assists: Marian Hossa (14), Duncan Keith (32)",72.0,1.0,left,8473604,Jonathan,Toews,C,1988-04-29,20162017
5681,2016020722_51,2016020722,51,16.0,14.0,Goal,Tip-In,-79.0,0.0,1,REGULAR,623,577,2017-01-25 01:56:09,0,1,"Jonathan Toews (9) Tip-In, assists: Richard Panik (10), Ryan Hartman (10)",79.0,0.0,right,8473604,Jonathan,Toews,C,1988-04-29,20162017
7600,2013030165_363,2013030165,363,16.0,19.0,Goal,Backhand,84.0,-10.0,4,OVERTIME,456,744,2014-04-26 03:03:27,3,2,"Jonathan Toews (2) Backhand, assists: Andrew Shaw (1), Duncan Keith (2)",84.0,-10.0,left,8473604,Jonathan,Toews,C,1988-04-29,20132014
7640,2012020003_135,2012020003,135,16.0,26.0,Goal,Wrist Shot,-78.0,5.0,2,REGULAR,76,1124,2013-01-19 21:29:05,4,0,"Jonathan Toews (1) Wrist Shot, assists: Patrick Kane (1)",78.0,-5.0,right,8473604,Jonathan,Toews,C,1988-04-29,20122013
7700,2014030327_22,2014030327,22,16.0,24.0,Goal,Wrist Shot,-80.0,1.0,1,REGULAR,143,1057,2015-05-31 00:22:52,1,0,"Jonathan Toews (8) Wrist Shot, assists: Niklas Hjalmarsson (5), Patrick Kane (8)",80.0,-1.0,right,8473604,Jonathan,Toews,C,1988-04-29,20142015
7701,2014030327_75,2014030327,75,16.0,24.0,Goal,Snap Shot,-52.0,18.0,1,REGULAR,715,485,2015-05-31 00:40:44,2,0,"Jonathan Toews (9) Snap Shot, assists: Brad Richards (8), Duncan Keith (15)",52.0,-18.0,right,8473604,Jonathan,Toews,C,1988-04-29,20142015
7736,2013020808_175,2013020808,175,16.0,23.0,Goal,Tip-In,-78.0,-2.0,2,REGULAR,647,553,2014-01-30 04:56:33,3,2,"Jonathan Toews (18) Tip-In, assists: Brent Seabrook (28), Patrick Sharp (27)",78.0,2.0,right,8473604,Jonathan,Toews,C,1988-04-29,20132014
7804,2015020768_97,2015020768,97,16.0,53.0,Goal,Wrist Shot,67.0,10.0,2,REGULAR,240,960,2016-02-05 03:10:44,2,1,"Jonathan Toews (20) Wrist Shot, assists: Marian Hossa (18), Trevor van Riemsdyk (5)",67.0,10.0,left,8473604,Jonathan,Toews,C,1988-04-29,20152016
7805,2015020768_317,2015020768,317,16.0,53.0,Goal,Wrist Shot,81.0,-3.0,4,OVERTIME,271,29,2016-02-05 04:53:18,5,4,"Jonathan Toews (21) Wrist Shot, assists: Brent Seabrook (25), Artemi Panarin (32)",81.0,-3.0,left,8473604,Jonathan,Toews,C,1988-04-29,20152016
7828,2012020608_301,2012020608,301,16.0,17.0,Goal,Wrist Shot,-75.0,4.0,3,REGULAR,1023,177,2013-04-13 02:53:43,2,2,"Jonathan Toews (20) Wrist Shot, assists: David Johnny Oduya (9), Michael Frolik (7)",75.0,-4.0,right,8473604,Jonathan,Toews,C,1988-04-29,20122013
7850,2013020757_344,2013020757,344,16.0,17.0,Goal,Backhand,78.0,-3.0,5,SHOOTOUT,0,300,2014-01-23 03:57:08,4,4,Jonathan Toews - Backhand,78.0,-3.0,,8473604,Jonathan,Toews,C,1988-04-29,20132014
7878,2013020330_170,2013020330,170,16.0,52.0,Goal,Snap Shot,-82.0,6.0,2,REGULAR,663,537,2013-11-22 02:24:20,3,2,"Jonathan Toews (11) Snap Shot, assists: Duncan Keith (16), Patrick Kane (12)",82.0,-6.0,right,8473604,Jonathan,Toews,C,1988-04-29,20132014
7924,2012020046_278,2012020046,278,16.0,25.0,Goal,Wrist Shot,62.0,11.0,3,REGULAR,847,353,2013-01-25 03:52:41,2,2,"Jonathan Toews (2) Wrist Shot, assists: Patrick Sharp (3), Duncan Keith (2)",62.0,11.0,left,8473604,Jonathan,Toews,C,1988-04-29,20122013
7957,2012020549_124,2012020549,124,16.0,19.0,Goal,Wrist Shot,79.0,0.0,2,REGULAR,198,1002,2013-04-05 01:34:33,1,1,"Jonathan Toews (18) Wrist Shot, assists: Brent Seabrook (11), Patrick Kane (25)",79.0,0.0,left,8473604,Jonathan,Toews,C,1988-04-29,20122013
7978,2012020627_65,2012020627,65,16.0,25.0,Goal,Tip-In,-78.0,-1.0,1,REGULAR,774,426,2013-04-16 00:31:20,0,1,"Jonathan Toews (21) Tip-In, assists: Marian Hossa (11), Brandon Saad (15)",78.0,1.0,right,8473604,Jonathan,Toews,C,1988-04-29,20122013
7985,2013020689_195,2013020689,195,16.0,22.0,Goal,Backhand,87.0,-3.0,2,REGULAR,1052,148,2014-01-13 01:34:12,2,4,"Jonathan Toews (17) Backhand, assists: Patrick Sharp (24), Marian Hossa (21)",87.0,-3.0,left,8473604,Jonathan,Toews,C,1988-04-29,20132014
8000,2013021020_284,2013021020,284,16.0,17.0,Goal,Backhand,-80.0,0.0,3,REGULAR,1070,130,2014-03-17 01:57:10,1,4,"Jonathan Toews (27) Backhand, assists: Marian Hossa (28)",80.0,0.0,right,8473604,Jonathan,Toews,C,1988-04-29,20132014
8004,2013020854_298,2013020854,298,16.0,24.0,Goal,Wrist Shot,-64.0,13.0,3,REGULAR,1049,151,2014-02-06 05:26:27,2,0,"Jonathan Toews (19) Wrist Shot, assists: Marian Hossa (26)",64.0,-13.0,right,8473604,Jonathan,Toews,C,1988-04-29,20132014
8008,2013020180_198,2013020180,198,16.0,9.0,Goal,Wrap-around,83.0,-7.0,2,REGULAR,870,330,2013-10-30 01:34:28,4,3,"Jonathan Toews (5) Wrap-around, assists: Patrick Sharp (6), Marian Hossa (4)",83.0,-7.0,left,8473604,Jonathan,Toews,C,1988-04-29,20132014
8009,2013020180_233,2013020180,233,16.0,9.0,Goal,Wrist Shot,-82.0,-4.0,3,REGULAR,80,1120,2013-10-30 02:03:18,4,4,"Jonathan Toews (6) Wrist Shot, assists: David Johnny Oduya (2)",82.0,4.0,right,8473604,Jonathan,Toews,C,1988-04-29,20132014
8010,2013020180_292,2013020180,292,16.0,9.0,Goal,Backhand,-80.0,-3.0,3,REGULAR,553,647,2013-10-30 02:20:18,4,5,"Jonathan Toews (7) Backhand, assists: Brent Seabrook (6), Marian Hossa (5)",80.0,3.0,right,8473604,Jonathan,Toews,C,1988-04-29,20132014
8042,2012020415_36,2012020415,36,16.0,25.0,Goal,Deflected,84.0,-2.0,1,REGULAR,545,655,2013-03-17 00:19:54,1,0,"Jonathan Toews (12) Deflected, assists: Nick Leddy (8), Brandon Saad (8)",84.0,-2.0,left,8473604,Jonathan,Toews,C,1988-04-29,20122013
8043,2012020415_45,2012020415,45,16.0,25.0,Goal,Backhand,83.0,-3.0,1,REGULAR,640,560,2013-03-17 00:22:56,2,0,"Jonathan Toews (13) Backhand, assists: Brandon Saad (9), Duncan Keith (13)",83.0,-3.0,left,8473604,Jonathan,Toews,C,1988-04-29,20122013
8048,2014020819_208,2014020819,208,16.0,1.0,Goal,Wrist Shot,-80.0,-5.0,3,REGULAR,250,950,2015-02-14 03:27:44,1,2,"Jonathan Toews (16) Wrist Shot, assists: Marian Hossa (25), Brent Seabrook (20)",80.0,5.0,right,8473604,Jonathan,Toews,C,1988-04-29,20142015
8060,2014020461_207,2014020461,207,16.0,30.0,Goal,Wrist Shot,86.0,-12.0,2,REGULAR,981,219,2014-12-17 03:04:09,1,3,"Jonathan Toews (12) Wrist Shot, assists: Ben Smith (3)",86.0,-12.0,left,8473604,Jonathan,Toews,C,1988-04-29,20142015
8068,2014021047_51,2014021047,51,16.0,2.0,Goal,Backhand,-91.0,29.0,1,REGULAR,421,779,2015-03-18 00:50:14,0,1,"Jonathan Toews (22) Backhand, assists: Duncan Keith (32), Patrick Sharp (23)",91.0,-29.0,right,8473604,Jonathan,Toews,C,1988-04-29,20142015
8069,2014021047_100,2014021047,100,16.0,2.0,Goal,Backhand,-80.0,7.0,1,REGULAR,964,236,2015-03-18 01:09:14,0,2,"Jonathan Toews (23) Backhand, assists: Niklas Hjalmarsson (13), David Johnny Oduya (4)",80.0,-7.0,right,8473604,Jonathan,Toews,C,1988-04-29,20142015
8073,2014020141_51,2014020141,51,16.0,9.0,Goal,Wrist Shot,-47.0,3.0,1,REGULAR,685,515,2014-10-31 00:03:38,1,1,"Jonathan Toews (3) Wrist Shot, assists: Marian Hossa (3), Bryan Bickell (3)",47.0,-3.0,right,8473604,Jonathan,Toews,C,1988-04-29,20142015
8074,2014020141_263,2014020141,263,16.0,9.0,Goal,Wrist Shot,-84.0,2.0,3,REGULAR,451,749,2014-10-31 01:44:33,3,3,"Jonathan Toews (4) Wrist Shot, assists: Brent Seabrook (3), Duncan Keith (4)",84.0,-2.0,right,8473604,Jonathan,Toews,C,1988-04-29,20142015
8090,2014020940_51,2014020940,51,16.0,12.0,Goal,Wrist Shot,-58.0,-3.0,1,REGULAR,487,713,2015-03-03 01:50:56,0,1,"Jonathan Toews (20) Wrist Shot, assists: Michal Rozsival (8), Niklas Hjalmarsson (11)",58.0,3.0,right,8473604,Jonathan,Toews,C,1988-04-29,20142015
8091,2014020940_114,2014020940,114,16.0,12.0,Goal,Wrist Shot,58.0,6.0,2,REGULAR,44,1156,2015-03-03 02:30:49,0,2,"Jonathan Toews (21) Wrist Shot, assists: Duncan Keith (30)",58.0,6.0,left,8473604,Jonathan,Toews,C,1988-04-29,20142015
8116,2016020872_190,2016020872,190,16.0,7.0,Goal,Backhand,82.0,-3.0,2,REGULAR,926,274,2017-02-20 00:36:20,3,1,"Jonathan Toews (12) Backhand, assists: Richard Panik (14), Nick Schmaltz (7)",82.0,-3.0,left,8473604,Jonathan,Toews,C,1988-04-29,20162017
