,play_id,game_id,play_num,team_id_for,team_id_against,event,secondaryType,x,y,period,periodType,periodTime,periodTimeRemaining,dateTime,goals_away,goals_home,description,st_x,st_y,rink_side,player_id,firstName,lastName,primaryPosition,birthDate,season,distance,assist,distance_bin,fullName
189,2013020355_330,2013020355,330,5.0,6.0,Goal,Backhand,-73.0,5.0,3,REGULAR,1199,1,2013-11-26 02:36:11,3,3,"Sidney Crosby (13) Backhand, assists: Chris Kunitz (11), James Neal (6)",73.0,-5.0,right,8471675,Sidney,Crosby,C,1987-08-07,20132014,16.76305461424021,Chris Kunitz,"(10.0ft, 20.0ft)",Sidney Crosby
507,2013020623_207,2013020623,207,5.0,3.0,Goal,Backhand,-71.0,10.0,2,REGULAR,1109,91,2014-01-04 01:37:05,0,4,"Sidney Crosby (23) Backhand, assists: Chris Kunitz (23), Brooks Orpik (8)",71.0,-10.0,right,8471675,Sidney,Crosby,C,1987-08-07,20132014,20.591260281974,Chris Kunitz,"(20.0ft, 30.0ft)",Sidney Crosby
592,2015021030_310,2015021030,310,5.0,3.0,Goal,Wrist Shot,54.0,36.0,3,REGULAR,1161,39,2016-03-13 18:56:46,5,3,"Sidney Crosby (29) Wrist Shot, assists: Tom Kuhnhackl (4), Bryan Rust (5)",54.0,36.0,left,8471675,Sidney,Crosby,C,1987-08-07,20152016,50.20956084253277,Tom Kuhnhackl,"(50.0ft, 60.0ft)",Sidney Crosby
688,2015030141_237,2015030141,237,5.0,3.0,Goal,Wrist Shot,-69.0,1.0,2,REGULAR,1136,64,2016-04-14 01:49:59,0,2,"Sidney Crosby (1) Wrist Shot, assists: Patric Hornqvist (1)",69.0,-1.0,right,8471675,Sidney,Crosby,C,1987-08-07,20152016,20.024984394500787,Patric Hornqvist,"(20.0ft, 30.0ft)",Sidney Crosby
697,2014030132_159,2014030132,159,5.0,3.0,Goal,Backhand,-81.0,4.0,2,REGULAR,847,353,2015-04-19 01:45:15,2,1,"Sidney Crosby (1) Backhand, assists: Patric Hornqvist (1), Ian Cole (1)",81.0,-4.0,right,8471675,Sidney,Crosby,C,1987-08-07,20142015,8.94427190999916,Patric Hornqvist,"(0.0ft, 10.0ft)",Sidney Crosby
698,2014030132_180,2014030132,180,5.0,3.0,Goal,Tip-In,-78.0,0.0,2,REGULAR,1126,74,2015-04-19 01:53:40,3,1,"Sidney Crosby (2) Tip-In, assists: Chris Kunitz (2), Paul Martin (1)",78.0,0.0,right,8471675,Sidney,Crosby,C,1987-08-07,20142015,11.0,Chris Kunitz,"(10.0ft, 20.0ft)",Sidney Crosby
810,2014020255_355,2014020255,355,5.0,3.0,Goal,Wrist Shot,69.0,7.0,5,SHOOTOUT,0,300,2014-11-16 02:53:05,2,2,Sidney Crosby - Wrist Shot,69.0,7.0,,8471675,Sidney,Crosby,C,1987-08-07,20142015,21.18962010041709,idney Crosby,"(20.0ft, 30.0ft)",Sidney Crosby
981,2014020672_70,2014020672,70,5.0,3.0,Goal,Wrist Shot,84.0,-8.0,1,REGULAR,908,292,2015-01-18 18:04:52,2,1,"Sidney Crosby (15) Wrist Shot, assists: David Perron (16), Kris Letang (22)",84.0,-8.0,left,8471675,Sidney,Crosby,C,1987-08-07,20142015,9.433981132056603,David Perron,"(0.0ft, 10.0ft)",Sidney Crosby
2810,2015030143_204,2015030143,204,5.0,3.0,Goal,Tip-In,-84.0,5.0,2,REGULAR,1158,42,2016-04-20 00:43:05,1,1,"Sidney Crosby (2) Tip-In, assists: Phil Kessel (2), Evgeni Malkin (2)",84.0,-5.0,right,8471675,Sidney,Crosby,C,1987-08-07,20152016,7.0710678118654755,Phil Kessel,"(0.0ft, 10.0ft)",Sidney Crosby
2939,2016020290_135,2016020290,135,5.0,3.0,Goal,Tip-In,-75.0,-15.0,2,REGULAR,298,902,2016-11-24 01:10:42,2,1,"Sidney Crosby (13) Tip-In, assists: Ian Cole (3)",75.0,15.0,right,8471675,Sidney,Crosby,C,1987-08-07,20162017,20.518284528683193,Ian Cole,"(20.0ft, 30.0ft)",Sidney Crosby
