,play_id,game_id,play_num,team_id_for,team_id_against,event,secondaryType,x,y,period,periodType,periodTime,periodTimeRemaining,dateTime,goals_away,goals_home,description,st_x,st_y,rink_side,player_id,firstName,lastName,primaryPosition,birthDate,season
26,2012020050_299,2012020050,299,6.0,2.0,Goal,Wrist Shot,84.0,-5.0,3,REGULAR,813,387,2013-01-26 02:25:18,2,4,"Patrice Bergeron (1) Wrist Shot, assists: Brad Marchand (1), Dougie Hamilton (3)",84.0,-5.0,left,8470638,Patrice,Bergeron,C,1985-07-24,20122013
32,2013020985_172,2013020985,172,6.0,8.0,Goal,Wrist Shot,-72.0,3.0,2,REGULAR,565,635,2014-03-13 00:50:17,2,0,"Patrice Bergeron (19) Wrist Shot, assists: Brad Marchand (20), Matt Bartkowski (14)",72.0,-3.0,right,8470638,Patrice,Bergeron,C,1985-07-24,20132014
38,2014020927_112,2014020927,112,6.0,53.0,Goal,Backhand,-69.0,-14.0,2,REGULAR,182,1018,2015-02-28 23:35:05,0,3,"Patrice Bergeron (18) Backhand, assists: Brad Marchand (16), Zdeno Chara (12)",69.0,14.0,right,8470638,Patrice,Bergeron,C,1985-07-24,20142015
71,2012020391_93,2012020391,93,6.0,13.0,Goal,Tip-In,78.0,-14.0,1,REGULAR,896,304,2013-03-14 23:34:01,0,2,"Patrice Bergeron (7) Tip-In, assists: Brad Marchand (10), Tyler Seguin (12)",78.0,-14.0,left,8470638,Patrice,Bergeron,C,1985-07-24,20122013
72,2012020391_296,2012020391,296,6.0,13.0,Goal,Wrist Shot,73.0,0.0,3,REGULAR,1142,58,2013-03-15 01:23:59,1,4,"Patrice Bergeron (8) Wrist Shot, assists: Brad Marchand (11)",73.0,0.0,left,8470638,Patrice,Bergeron,C,1985-07-24,20122013
82,2013020380_205,2013020380,205,6.0,3.0,Goal,Snap Shot,71.0,-8.0,3,REGULAR,95,1105,2013-11-29 20:09:47,2,2,"Patrice Bergeron (7) Snap Shot, assists: Brad Marchand (7), Johnny Boychuk (5)",71.0,-8.0,left,8470638,Patrice,Bergeron,C,1985-07-24,20132014
88,2014020595_195,2014020595,195,6.0,5.0,Goal,Wrist Shot,74.0,5.0,2,REGULAR,937,263,2015-01-08 02:39:21,2,1,"Patrice Bergeron (9) Wrist Shot, assists: Daniel Paille (7), Milan Lucic (13)",74.0,5.0,left,8470638,Patrice,Bergeron,C,1985-07-24,20142015
89,2014020595_330,2014020595,330,6.0,5.0,Goal,Tip-In,79.0,5.0,4,OVERTIME,163,137,2015-01-08 03:46:51,3,2,"Patrice Bergeron (10) Tip-In, assists: Milan Lucic (14), Torey Krug (9)",79.0,5.0,left,8470638,Patrice,Bergeron,C,1985-07-24,20142015
116,2017020824_133,2017020824,133,6.0,3.0,Goal,Wrist Shot,-51.0,-16.0,2,REGULAR,227,973,2018-02-08 02:10:41,3,1,"Patrice Bergeron (23) Wrist Shot, assists: David Pastrnak (30), Torey Krug (24)",51.0,16.0,right,8470638,Patrice,Bergeron,C,1985-07-24,20172018
117,2017020824_163,2017020824,163,6.0,3.0,Goal,Tip-In,-79.0,-3.0,2,REGULAR,600,600,2018-02-08 02:24:09,5,1,"Patrice Bergeron (24) Tip-In, assists: Brad Marchand (30), Zdeno Chara (11)",79.0,3.0,right,8470638,Patrice,Bergeron,C,1985-07-24,20172018
126,2013021121_172,2013021121,172,6.0,4.0,Goal,Wrist Shot,-69.0,-18.0,2,REGULAR,665,535,2014-03-30 17:49:59,3,2,"Patrice Bergeron (27) Wrist Shot, assists: Reilly Smith (29), Matt Bartkowski (17)",69.0,18.0,right,8470638,Patrice,Bergeron,C,1985-07-24,20132014
127,2013021121_386,2013021121,386,6.0,4.0,Goal,Wrist Shot,85.0,-3.0,5,SHOOTOUT,0,300,2014-03-30 19:16:38,3,3,Patrice Bergeron - Wrist Shot,85.0,-3.0,,8470638,Patrice,Bergeron,C,1985-07-24,20132014
160,2013020776_204,2013020776,204,6.0,4.0,Goal,Snap Shot,-83.0,-19.0,2,REGULAR,790,410,2014-01-25 19:33:06,4,0,"Patrice Bergeron (13) Snap Shot, assists: Brad Marchand (13)",83.0,19.0,right,8470638,Patrice,Bergeron,C,1985-07-24,20132014
175,2013020247_276,2013020247,276,6.0,10.0,Goal,Snap Shot,78.0,-3.0,3,REGULAR,66,1134,2013-11-10 02:13:14,1,2,"Patrice Bergeron (4) Snap Shot, assists: Carl Soderberg (5), Reilly Smith (9)",78.0,-3.0,left,8470638,Patrice,Bergeron,C,1985-07-24,20132014
176,2013020247_374,2013020247,374,6.0,10.0,Goal,Wrist Shot,79.0,1.0,3,REGULAR,1178,22,2013-11-10 02:49:49,1,3,"Patrice Bergeron (5) Wrist Shot, assists: Loui Eriksson (3), Brad Marchand (4)",79.0,1.0,left,8470638,Patrice,Bergeron,C,1985-07-24,20132014
203,2014021080_7,2014021080,7,6.0,14.0,Goal,Wrist Shot,-61.0,7.0,1,REGULAR,33,1167,2015-03-22 21:09:48,1,0,"Patrice Bergeron (21) Wrist Shot, assists: Brad Marchand (17), Adam McQuaid (5)",61.0,-7.0,right,8470638,Patrice,Bergeron,C,1985-07-24,20142015
223,2015021119_168,2015021119,168,6.0,10.0,Goal,Wrist Shot,-74.0,0.0,2,REGULAR,172,1028,2016-03-27 00:00:00,1,1,"Patrice Bergeron (29) Wrist Shot, assists: Matt Beleskey (21), Torey Krug (34)",74.0,0.0,right,8470638,Patrice,Bergeron,C,1985-07-24,20152016
