,play_id,game_id,play_num,team_id_for,team_id_against,event,secondaryType,x,y,period,periodType,periodTime,periodTimeRemaining,dateTime,goals_away,goals_home,description,st_x,st_y,rink_side,player_id,firstName,lastName,primaryPosition,birthDate,season,distance,assist,distance_bin,fullName
1376,2013020739_249,2013020739,249,26.0,6.0,Goal,Slap Shot,-55.0,-14.0,3,REGULAR,515,685,2014-01-20 22:12:35,2,2,"Jeff Carter (19) Slap Shot, assists: Drew Doughty (20), Anze Kopitar (27)",55.0,14.0,right,8470604,Jeff,Carter,C,1985-01-01,20132014,36.76955262170047,Drew Doughty,"(35.0ft, 40.0ft)",Jeff Carter
2234,2015020794_123,2015020794,123,26.0,6.0,Goal,Wrist Shot,-81.0,-7.0,1,REGULAR,1101,99,2016-02-10 00:46:45,1,1,"Jeff Carter (14) Wrist Shot, assists: Jake Muzzin (24), Drew Doughty (22)",81.0,7.0,right,8470604,Jeff,Carter,C,1985-01-01,20152016,10.63014581273465,Jake Muzzin,"(10.0ft, 15.0ft)",Jeff Carter
2804,2015020192_337,2015020192,337,26.0,29.0,Goal,Wrist Shot,-80.0,-24.0,3,REGULAR,1140,60,2015-11-06 06:12:24,3,2,"Jeff Carter (6) Wrist Shot, assists: Anze Kopitar (1)",80.0,24.0,right,8470604,Jeff,Carter,C,1985-01-01,20152016,25.632011235952593,Anze Kopitar,"(25.0ft, 30.0ft)",Jeff Carter
3681,2015020201_179,2015020201,179,26.0,13.0,Goal,Wrist Shot,71.0,18.0,2,REGULAR,796,404,2015-11-07 22:28:35,1,1,"Jeff Carter (7) Wrist Shot, assists: Tyler Toffoli (3), Derek Forbort (1)",71.0,18.0,left,8470604,Jeff,Carter,C,1985-01-01,20152016,25.45584412271571,Tyler Toffoli,"(25.0ft, 30.0ft)",Jeff Carter
3920,2015020099_166,2015020099,166,26.0,28.0,Goal,Snap Shot,64.0,-20.0,2,REGULAR,226,974,2015-10-23 03:49:40,3,0,"Jeff Carter (1) Snap Shot, assists: Drew Doughty (2)",64.0,-20.0,left,8470604,Jeff,Carter,C,1985-01-01,20152016,32.01562118716424,Drew Doughty,"(30.0ft, 35.0ft)",Jeff Carter
3921,2015020099_309,2015020099,309,26.0,28.0,Goal,Wrist Shot,-55.0,-1.0,3,REGULAR,575,625,2015-10-23 05:01:19,4,1,"Jeff Carter (2) Wrist Shot, assists: none",55.0,1.0,right,8470604,Jeff,Carter,C,1985-01-01,20152016,34.0147027033899,None,"(30.0ft, 35.0ft)",Jeff Carter
3973,2015021197_302,2015021197,302,26.0,20.0,Goal,Wrist Shot,-83.0,3.0,4,OVERTIME,40,260,2016-04-06 03:39:50,5,4,"Jeff Carter (24) Wrist Shot, assists: none",83.0,-3.0,right,8470604,Jeff,Carter,C,1985-01-01,20152016,6.708203932499369,None,"(5.0ft, 10.0ft)",Jeff Carter
4068,2015021006_358,2015021006,358,26.0,15.0,Goal,Wrist Shot,76.0,-5.0,4,OVERTIME,170,130,2016-03-10 06:14:26,3,4,"Jeff Carter (18) Wrist Shot, assists: Milan Lucic (26), Drew Doughty (31)",76.0,-5.0,left,8470604,Jeff,Carter,C,1985-01-01,20152016,13.92838827718412,Milan Lucic,"(10.0ft, 15.0ft)",Jeff Carter
4101,2013021094_81,2013021094,81,26.0,5.0,Goal,Tip-In,-79.0,3.0,1,REGULAR,923,277,2014-03-27 23:32:54,1,0,"Jeff Carter (26) Tip-In, assists: Marian Gaborik (11), Anze Kopitar (38)",79.0,-3.0,right,8470604,Jeff,Carter,C,1985-01-01,20132014,10.44030650891055,Marian Gaborik,"(10.0ft, 15.0ft)",Jeff Carter
4933,2013020605_86,2013020605,86,26.0,25.0,Goal,Tip-In,82.0,4.0,1,REGULAR,743,457,2014-01-01 01:34:04,1,0,"Jeff Carter (13) Tip-In, assists: Mike Richards (22), Drew Doughty (16)",82.0,4.0,left,8470604,Jeff,Carter,C,1985-01-01,20132014,8.06225774829855,Mike Richards,"(5.0ft, 10.0ft)",Jeff Carter
