,play_id,game_id,play_num,team_id_for,team_id_against,event,secondaryType,x,y,period,periodType,periodTime,periodTimeRemaining,dateTime,goals_away,goals_home,description,st_x,st_y,rink_side,player_id,firstName,lastName,primaryPosition,birthDate,season,distance,assist,distance_bin,fullName
4,2012030221_430,2012030221,430,6.0,3.0,Goal,Tip-In,-77.0,-4.0,4,OVERTIME,940,260,2013-05-17 02:46:57,2,3,"Brad Marchand (1) Tip-In, assists: Patrice Bergeron (2), Zdeno Chara (8)",77.0,4.0,right,8473419,Brad,Marchand,LW,1988-05-11,20122013,12.649110640673518,Patrice Bergeron,"(10.0ft, 20.0ft)",Brad Marchand
13,2013020021_96,2013020021,96,6.0,17.0,Goal,Wrist Shot,-76.0,27.0,2,REGULAR,36,1164,2013-10-06 00:01:56,1,2,"Brad Marchand (1) Wrist Shot, assists: Johnny Boychuk (1)",76.0,-27.0,right,8473419,Brad,Marchand,LW,1988-05-11,20132014,29.966648127543394,Johnny Boychuk,"(20.0ft, 30.0ft)",Brad Marchand
36,2014020927_66,2014020927,66,6.0,53.0,Goal,Wrist Shot,64.0,20.0,1,REGULAR,853,347,2015-02-28 23:02:44,0,2,"Brad Marchand (18) Wrist Shot, assists: Reilly Smith (22), Patrice Bergeron (26)",64.0,20.0,left,8473419,Brad,Marchand,LW,1988-05-11,20142015,32.01562118716424,Reilly Smith,"(30.0ft, 40.0ft)",Brad Marchand
80,2013020380_64,2013020380,64,6.0,3.0,Goal,Snap Shot,72.0,-26.0,1,REGULAR,702,498,2013-11-29 18:42:41,0,1,"Brad Marchand (4) Snap Shot, assists: Zdeno Chara (5), Loui Eriksson (9)",72.0,-26.0,left,8473419,Brad,Marchand,LW,1988-05-11,20132014,31.064449134018133,Zdeno Chara,"(30.0ft, 40.0ft)",Brad Marchand
95,2014020970_309,2014020970,309,6.0,4.0,Goal,Tip-In,73.0,1.0,3,REGULAR,1185,15,2015-03-07 20:32:37,2,2,"Brad Marchand (20) Tip-In, assists: Dougie Hamilton (27), Loui Eriksson (22)",73.0,1.0,left,8473419,Brad,Marchand,LW,1988-05-11,20142015,16.0312195418814,Dougie Hamilton,"(10.0ft, 20.0ft)",Brad Marchand
96,2014020970_333,2014020970,333,6.0,4.0,Goal,Backhand,-75.0,0.0,4,OVERTIME,232,68,2015-03-07 20:40:28,2,3,"Brad Marchand (21) Backhand, assists: Max Talbot (11), Ryan Spooner (4)",75.0,0.0,right,8473419,Brad,Marchand,LW,1988-05-11,20142015,14.0,Max Talbot,"(10.0ft, 20.0ft)",Brad Marchand
101,2014020843_38,2014020843,38,6.0,20.0,Goal,Snap Shot,79.0,5.0,1,REGULAR,408,792,2015-02-17 02:20:11,1,0,"Brad Marchand (16) Snap Shot, assists: Patrice Bergeron (22)",79.0,5.0,left,8473419,Brad,Marchand,LW,1988-05-11,20142015,11.180339887498949,Patrice Bergeron,"(10.0ft, 20.0ft)",Brad Marchand
107,2017020072_210,2017020072,210,6.0,53.0,Goal,Backhand,81.0,-3.0,2,REGULAR,981,219,2017-10-15 02:35:03,4,1,"Brad Marchand (3) Backhand, assists: Zdeno Chara (2), Adam McQuaid (1)",81.0,-3.0,left,8473419,Brad,Marchand,LW,1988-05-11,20172018,8.54400374531753,Zdeno Chara,"(0.0ft, 10.0ft)",Brad Marchand
166,2013020882_169,2013020882,169,6.0,7.0,Goal,Wrist Shot,67.0,-10.0,2,REGULAR,1066,134,2014-02-27 02:06:57,3,3,"Brad Marchand (20) Wrist Shot, assists: Reilly Smith (25)",67.0,-10.0,left,8473419,Brad,Marchand,LW,1988-05-11,20132014,24.166091947189145,Reilly Smith,"(20.0ft, 30.0ft)",Brad Marchand
195,2012020326_41,2012020326,41,6.0,15.0,Goal,Wrist Shot,73.0,0.0,1,REGULAR,389,811,2013-03-06 00:18:14,1,0,"Brad Marchand (12) Wrist Shot, assists: none",73.0,0.0,left,8473419,Brad,Marchand,LW,1988-05-11,20122013,16.0,None,"(10.0ft, 20.0ft)",Brad Marchand
