,play_id,game_id,play_num,team_id_for,team_id_against,event,secondaryType,x,y,period,periodType,periodTime,periodTimeRemaining,dateTime,goals_away,goals_home,description,st_x,st_y,rink_side,player_id,firstName,lastName,primaryPosition,birthDate,season
9,2017030123_115,2017030123,115,10.0,6.0,Goal,Snap Shot,-84.0,2.0,1,REGULAR,1025,175,2018-04-16 23:46:38,0,1,"James van Riemsdyk (2) Snap Shot, assists: Tyler Bozak (1), Morgan Rielly (3)",84.0,-2.0,right,8474037,James,van Riemsdyk,LW,1989-05-04,20172018
607,2017021127_74,2017021127,74,10.0,14.0,Goal,Wrist Shot,-70.0,6.0,1,REGULAR,906,294,2018-03-21 00:05:01,1,0,"James van Riemsdyk (32) Wrist Shot, assists: Mitchell Marner (42), Connor Carrick (8)",70.0,-6.0,right,8474037,James,van Riemsdyk,LW,1989-05-04,20172018
608,2017021127_110,2017021127,110,10.0,14.0,Goal,Backhand,74.0,1.0,2,REGULAR,89,1111,2018-03-21 00:35:40,2,0,"James van Riemsdyk (33) Backhand, assists: Tyler Bozak (27), Nazem Kadri (22)",74.0,1.0,left,8474037,James,van Riemsdyk,LW,1989-05-04,20172018
899,2012020578_70,2012020578,70,10.0,3.0,Goal,Backhand,-88.0,3.0,1,REGULAR,663,537,2013-04-08 23:30:06,0,1,"James van Riemsdyk (16) Backhand, assists: John-Michael Liles (8), Phil Kessel (26)",88.0,-3.0,right,8474037,James,van Riemsdyk,LW,1989-05-04,20122013
1423,2014020547_116,2014020547,116,10.0,6.0,Goal,Wrist Shot,84.0,5.0,2,REGULAR,48,1152,2015-01-01 01:11:23,2,1,"James van Riemsdyk (17) Wrist Shot, assists: Phil Kessel (23)",84.0,5.0,left,8474037,James,van Riemsdyk,LW,1989-05-04,20142015
1466,2016020774_186,2016020774,186,10.0,6.0,Goal,Backhand,78.0,-5.0,2,REGULAR,511,689,2017-02-05 01:36:28,2,1,"James van Riemsdyk (18) Backhand, assists: Mitchell Marner (30)",78.0,-5.0,left,8474037,James,van Riemsdyk,LW,1989-05-04,20162017
1467,2016020774_380,2016020774,380,10.0,6.0,Goal,Wrist Shot,-59.0,26.0,3,REGULAR,1104,96,2017-02-05 03:03:13,6,5,"James van Riemsdyk (19) Wrist Shot, assists: Tyler Bozak (20), Mitchell Marner (31)",59.0,-26.0,right,8474037,James,van Riemsdyk,LW,1989-05-04,20162017
1819,2013021144_119,2013021144,119,10.0,6.0,Goal,Wrist Shot,73.0,2.0,2,REGULAR,52,1148,2014-04-04 00:36:14,1,3,"James van Riemsdyk (30) Wrist Shot, assists: Phil Kessel (43)",73.0,2.0,left,8474037,James,van Riemsdyk,LW,1989-05-04,20132014
1907,2013020696_237,2013020696,237,10.0,6.0,Goal,Snap Shot,-57.0,19.0,3,REGULAR,60,1140,2014-01-15 02:08:53,4,2,"James van Riemsdyk (18) Snap Shot, assists: Tyler Bozak (13), Joffrey Lupul (11)",57.0,-19.0,right,8474037,James,van Riemsdyk,LW,1989-05-04,20132014
2048,2016020413_260,2016020413,260,10.0,6.0,Goal,Wrist Shot,-75.0,6.0,3,REGULAR,592,608,2016-12-11 02:21:23,3,1,"James van Riemsdyk (12) Wrist Shot, assists: Tyler Bozak (13), Matt Hunwick (6)",75.0,-6.0,right,8474037,James,van Riemsdyk,LW,1989-05-04,20162017
2837,2017030122_308,2017030122,308,10.0,6.0,Goal,Wrist Shot,-83.0,7.0,3,REGULAR,893,307,2018-04-15 02:43:39,3,6,"James van Riemsdyk (1) Wrist Shot, assists: Andreas Johnsson (1), Mitchell Marner (1)",83.0,-7.0,right,8474037,James,van Riemsdyk,LW,1989-05-04,20172018
