,play_id,game_id,play_num,team_id_for,team_id_against,event,secondaryType,x,y,period,periodType,periodTime,periodTimeRemaining,dateTime,goals_away,goals_home,description,st_x,st_y,rink_side,player_id,firstName,lastName,primaryPosition,birthDate,season
1114,2015020966_223,2015020966,223,15.0,3.0,Goal,Wrist Shot,71.0,15.0,2,REGULAR,1160,40,2016-03-05 01:44:37,2,2,"T.J. Oshie (19) Wrist Shot, assists: none",71.0,15.0,left,8471698,T.J.,Oshie,RW,1986-12-23,20152016
1941,2014020869_121,2014020869,121,19.0,6.0,Goal,Slap Shot,-67.0,22.0,2,REGULAR,309,891,2015-02-21 02:09:51,1,3,"T.J. Oshie (16) Slap Shot, assists: Alexander Steen (31), Ian Cole (4)",67.0,-22.0,right,8471698,T.J.,Oshie,RW,1986-12-23,20142015
2009,2016020755_18,2016020755,18,15.0,6.0,Goal,Wrist Shot,-76.0,0.0,1,REGULAR,186,1014,2017-02-02 01:15:34,0,1,"T.J. Oshie (19) Wrist Shot, assists: Nicklas Backstrom (36)",76.0,0.0,right,8471698,T.J.,Oshie,RW,1986-12-23,20162017
4067,2015021006_240,2015021006,240,15.0,26.0,Goal,Wrist Shot,78.0,-13.0,3,REGULAR,106,1094,2016-03-10 05:34:04,1,3,"T.J. Oshie (20) Wrist Shot, assists: Marcus Johansson (23), Matt Niskanen (24)",78.0,-13.0,left,8471698,T.J.,Oshie,RW,1986-12-23,20152016
4263,2015030226_234,2015030226,234,15.0,5.0,Goal,Snap Shot,69.0,-14.0,2,REGULAR,1110,90,2016-05-11 01:42:34,1,3,"T.J. Oshie (6) Snap Shot, assists: Nicklas Backstrom (8), Alex Ovechkin (6)",69.0,-14.0,left,8471698,T.J.,Oshie,RW,1986-12-23,20152016
5343,2017021123_128,2017021123,128,15.0,25.0,Goal,Wrist Shot,79.0,-8.0,2,REGULAR,247,953,2018-03-21 00:08:20,1,1,"T.J. Oshie (16) Wrist Shot, assists: Lars Eller (19), Alex Ovechkin (36)",79.0,-8.0,left,8471698,T.J.,Oshie,RW,1986-12-23,20172018
5619,2015020334_247,2015020334,247,15.0,14.0,Goal,Wrist Shot,-56.0,10.0,3,REGULAR,316,884,2015-11-28 00:09:30,0,4,"T.J. Oshie (6) Wrist Shot, assists: Nicklas Backstrom (11), John Carlson (13)",56.0,-10.0,right,8471698,T.J.,Oshie,RW,1986-12-23,20152016
6039,2015020497_148,2015020497,148,15.0,3.0,Goal,Backhand,-80.0,2.0,2,REGULAR,421,779,2015-12-21 01:17:58,3,3,"T.J. Oshie (13) Backhand, assists: Nicklas Backstrom (19), Dmitry Orlov (9)",80.0,-2.0,right,8471698,T.J.,Oshie,RW,1986-12-23,20152016
7116,2015030225_155,2015030225,155,15.0,5.0,Goal,Wrist Shot,80.0,1.0,2,REGULAR,240,960,2016-05-08 00:30:13,1,2,"T.J. Oshie (5) Wrist Shot, assists: Alex Ovechkin (5), John Carlson (7)",80.0,1.0,left,8471698,T.J.,Oshie,RW,1986-12-23,20152016
7498,2017020036_93,2017020036,93,15.0,14.0,Goal,Tip-In,-75.0,0.0,1,REGULAR,1085,115,2017-10-10 00:13:35,2,0,"T.J. Oshie (2) Tip-In, assists: John Carlson (2), Nicklas Backstrom (3)",75.0,0.0,right,8471698,T.J.,Oshie,RW,1986-12-23,20172018
7499,2017020036_141,2017020036,141,15.0,14.0,Goal,Wrist Shot,62.0,-4.0,2,REGULAR,469,731,2017-10-10 00:52:08,3,1,"T.J. Oshie (3) Wrist Shot, assists: Nicklas Backstrom (4), Evgeny Kuznetsov (8)",62.0,-4.0,left,8471698,T.J.,Oshie,RW,1986-12-23,20172018
7601,2013030165_162,2013030165,162,19.0,16.0,Goal,Backhand,-83.0,-16.0,2,REGULAR,664,536,2014-04-26 01:20:35,1,1,"T.J. Oshie (1) Backhand, assists: Alexander Steen (1), Barret Jackman (2)",83.0,16.0,right,8471698,T.J.,Oshie,RW,1986-12-23,20132014
7710,2013020104_336,2013020104,336,19.0,16.0,Goal,Wrist Shot,79.0,1.0,5,SHOOTOUT,0,300,2013-10-18 02:46:55,2,2,T.J. Oshie - Wrist Shot,79.0,1.0,,8471698,T.J.,Oshie,RW,1986-12-23,20132014
8652,2013030166_96,2013030166,96,19.0,16.0,Goal,Slap Shot,80.0,4.0,1,REGULAR,988,212,2014-04-27 19:51:54,1,1,"T.J. Oshie (2) Slap Shot, assists: Alexander Steen (2), Jay Bouwmeester (1)",80.0,4.0,left,8471698,T.J.,Oshie,RW,1986-12-23,20132014
8766,2013020581_299,2013020581,299,19.0,16.0,Goal,Backhand,80.0,5.0,5,SHOOTOUT,0,300,2013-12-29 03:47:17,5,5,T.J. Oshie - Backhand,80.0,5.0,,8471698,T.J.,Oshie,RW,1986-12-23,20132014
