,play_id,game_id,play_num,team_id_for,team_id_against,event,secondaryType,x,y,period,periodType,periodTime,periodTimeRemaining,dateTime,goals_away,goals_home,description,st_x,st_y,rink_side,player_id,firstName,lastName,primaryPosition,birthDate,season
214,2014020053_65,2014020053,65,8.0,6.0,Goal,Tip-In,-84.0,-4.0,1,REGULAR,693,507,2014-10-17 00:11:24,1,1,"Max Pacioretty (2) Tip-In, assists: David Desharnais (2), Brendan Gallagher (2)",84.0,4.0,right,8474157,Max,Pacioretty,LW,1988-11-20,20142015
375,2013030312_44,2013030312,44,8.0,3.0,Goal,Deflected,-84.0,-6.0,1,REGULAR,374,826,2014-05-20 00:20:23,0,1,"Max Pacioretty (4) Deflected, assists: none",84.0,6.0,right,8474157,Max,Pacioretty,LW,1988-11-20,20132014
723,2013030315_144,2013030315,144,8.0,3.0,Goal,Wrist Shot,63.0,-14.0,2,REGULAR,224,976,2014-05-28 01:15:14,1,3,"Max Pacioretty (5) Wrist Shot, assists: Brendan Gallagher (7), Andrei Markov (8)",63.0,-14.0,left,8474157,Max,Pacioretty,LW,1988-11-20,20132014
1085,2016020642_287,2016020642,287,8.0,3.0,Goal,Wrist Shot,-76.0,0.0,3,REGULAR,689,511,2017-01-15 02:34:53,3,4,"Max Pacioretty (20) Wrist Shot, assists: Zach Redmond (5)",76.0,0.0,right,8474157,Max,Pacioretty,LW,1988-11-20,20162017
1436,2017020712_191,2017020712,191,8.0,6.0,Goal,Wrist Shot,76.0,4.0,2,REGULAR,689,511,2018-01-21 01:27:33,0,1,"Max Pacioretty (15) Wrist Shot, assists: Paul Byron (8)",76.0,4.0,left,8474157,Max,Pacioretty,LW,1988-11-20,20172018
2221,2017020672_23,2017020672,23,8.0,6.0,Goal,Wrist Shot,-81.0,1.0,1,REGULAR,202,998,2018-01-14 00:21:00,0,1,"Max Pacioretty (11) Wrist Shot, assists: Victor Mete (5), Phillip Danault (16)",81.0,-1.0,right,8474157,Max,Pacioretty,LW,1988-11-20,20172018
2519,2017020949_226,2017020949,226,8.0,14.0,Goal,Wrist Shot,70.0,4.0,2,REGULAR,989,211,2018-02-25 01:47:03,2,3,"Max Pacioretty (17) Wrist Shot, assists: Jeff Petry (20), Jonathan Drouin (21)",70.0,4.0,left,8474157,Max,Pacioretty,LW,1988-11-20,20172018
2771,2013020425_240,2013020425,240,8.0,6.0,Goal,Backhand,67.0,2.0,2,REGULAR,1062,138,2013-12-06 02:25:01,1,2,"Max Pacioretty (11) Backhand, assists: Raphael Diaz (10), Brendan Gallagher (7)",67.0,2.0,left,8474157,Max,Pacioretty,LW,1988-11-20,20132014
3362,2017020158_213,2017020158,213,8.0,3.0,Goal,Wrist Shot,79.0,3.0,2,REGULAR,878,322,2017-10-29 00:36:33,2,4,"Max Pacioretty (3) Wrist Shot, assists: Shea Weber (3), Phillip Danault (4)",79.0,3.0,left,8474157,Max,Pacioretty,LW,1988-11-20,20172018
3393,2015020320_250,2015020320,250,8.0,3.0,Goal,Slap Shot,80.0,3.0,3,REGULAR,546,654,2015-11-26 02:19:02,5,1,"Max Pacioretty (12) Slap Shot, assists: Alex Galchenyuk (11), Tomas Plekanec (16)",80.0,3.0,left,8474157,Max,Pacioretty,LW,1988-11-20,20152016
3801,2016021013_305,2016021013,305,8.0,22.0,Goal,Tip-In,-78.0,-6.0,3,REGULAR,882,318,2017-03-13 01:28:23,2,1,"Max Pacioretty (32) Tip-In, assists: Alex Galchenyuk (24), Andrei Markov (26)",78.0,6.0,right,8474157,Max,Pacioretty,LW,1988-11-20,20162017
3802,2016021013_327,2016021013,327,8.0,22.0,Goal,Wrist Shot,-50.0,-2.0,3,REGULAR,1173,27,2017-03-13 01:38:39,4,1,"Max Pacioretty (33) Wrist Shot, assists: Paul Byron (16), Torrey Mitchell (9)",50.0,2.0,right,8474157,Max,Pacioretty,LW,1988-11-20,20162017
4406,2014020108_280,2014020108,280,8.0,3.0,Goal,Wrist Shot,-77.0,-1.0,3,REGULAR,395,805,2014-10-26 01:23:10,1,3,"Max Pacioretty (3) Wrist Shot, assists: Dale Weise (2), David Desharnais (4)",77.0,1.0,right,8474157,Max,Pacioretty,LW,1988-11-20,20142015
4721,2013020618_58,2013020618,58,8.0,25.0,Goal,Wrist Shot,68.0,11.0,1,REGULAR,660,540,2014-01-03 01:54:55,1,1,"Max Pacioretty (18) Wrist Shot, assists: P.K. Subban (24)",68.0,11.0,left,8474157,Max,Pacioretty,LW,1988-11-20,20132014
4722,2013020618_340,2013020618,340,8.0,25.0,Goal,Wrist Shot,77.0,-1.0,3,REGULAR,1136,64,2014-01-03 04:12:58,6,4,"Max Pacioretty (19) Wrist Shot, assists: P.K. Subban (26)",77.0,-1.0,left,8474157,Max,Pacioretty,LW,1988-11-20,20132014
4910,2012020316_245,2012020316,245,8.0,6.0,Goal,Wrist Shot,-44.0,-1.0,3,REGULAR,331,869,2013-03-04 02:45:03,3,3,"Max Pacioretty (8) Wrist Shot, assists: Alexei Emelin (6), Brendan Gallagher (6)",44.0,1.0,right,8474157,Max,Pacioretty,LW,1988-11-20,20122013
5407,2016020574_277,2016020574,277,8.0,25.0,Goal,Snap Shot,69.0,-19.0,3,REGULAR,253,947,2017-01-05 03:15:45,3,2,"Max Pacioretty (17) Snap Shot, assists: Nathan Beaulieu (11), Shea Weber (14)",69.0,-19.0,left,8474157,Max,Pacioretty,LW,1988-11-20,20162017
5408,2016020574_369,2016020574,369,8.0,25.0,Goal,Wrist Shot,-73.0,1.0,4,OVERTIME,19,281,2017-01-05 03:50:46,4,3,"Max Pacioretty (18) Wrist Shot, assists: Jeff Petry (11), Phillip Danault (11)",73.0,-1.0,right,8474157,Max,Pacioretty,LW,1988-11-20,20162017
6606,2012020306_137,2012020306,137,8.0,5.0,Goal,Backhand,85.0,-7.0,2,REGULAR,254,946,2013-03-03 01:16:08,1,2,"Max Pacioretty (7) Backhand, assists: Brendan Gallagher (4), Tomas Kaberle (3)",85.0,-7.0,left,8474157,Max,Pacioretty,LW,1988-11-20,20122013
6638,2013020890_161,2013020890,161,8.0,5.0,Goal,Snap Shot,67.0,-13.0,2,REGULAR,695,505,2014-02-28 01:24:50,3,3,"Max Pacioretty (27) Snap Shot, assists: David Desharnais (23), Andrei Markov (28)",67.0,-13.0,left,8474157,Max,Pacioretty,LW,1988-11-20,20132014
8156,2015020674_252,2015020674,252,8.0,16.0,Goal,Wrist Shot,85.0,-3.0,3,REGULAR,622,578,2016-01-18 02:16:24,2,3,"Max Pacioretty (19) Wrist Shot, assists: Brendan Gallagher (13), P.K. Subban (29)",85.0,-3.0,left,8474157,Max,Pacioretty,LW,1988-11-20,20152016
9817,2013021095_222,2013021095,222,8.0,17.0,Goal,Wrist Shot,55.0,-21.0,3,REGULAR,348,852,2014-03-28 01:10:29,4,3,"Max Pacioretty (33) Wrist Shot, assists: David Desharnais (33), Thomas Vanek (36)",55.0,-21.0,left,8474157,Max,Pacioretty,LW,1988-11-20,20132014
10750,2015021143_37,2015021143,37,8.0,17.0,Goal,Tip-In,-78.0,-2.0,1,REGULAR,503,697,2016-03-29 23:51:11,0,1,"Max Pacioretty (26) Tip-In, assists: Joel Hanley (5), Sven Andrighetto (9)",78.0,2.0,right,8474157,Max,Pacioretty,LW,1988-11-20,20152016
