,play_id,game_id,play_num,team_id_for,team_id_against,event,secondaryType,x,y,period,periodType,periodTime,periodTimeRemaining,dateTime,goals_away,goals_home,description,st_x,st_y,rink_side,player_id,firstName,lastName,primaryPosition,birthDate,season,distance,assist,distance_bin,fullName
965,2013020994_192,2013020994,192,30.0,3.0,Goal,Wrist Shot,-82.0,-1.0,3,REGULAR,63,1137,2014-03-14 01:59:03,1,2,"Zach Parise (23) Wrist Shot, assists: Jason Pominville (22), Mikael Granlund (29)",82.0,1.0,right,8470610,Zach,Parise,LW,1984-07-28,20132014,7.0710678118654755,Jason Pominville,"(0.0ft, 10.0ft)",Zach Parise
3523,2016020078_120,2016020078,120,30.0,2.0,Goal,Wrist Shot,63.0,14.0,2,REGULAR,75,1125,2016-10-23 23:05:14,1,0,"Zach Parise (1) Wrist Shot, assists: Matt Dumba (2)",63.0,14.0,left,8470610,Zach,Parise,LW,1984-07-28,20162017,29.5296461204668,Matt Dumba,"(20.0ft, 30.0ft)",Zach Parise
3524,2016020078_184,2016020078,184,30.0,2.0,Goal,Wrist Shot,85.0,-3.0,2,REGULAR,757,443,2016-10-23 23:31:50,2,3,"Zach Parise (2) Wrist Shot, assists: Mikael Granlund (2), Mikko Koivu (2)",85.0,-3.0,left,8470610,Zach,Parise,LW,1984-07-28,20162017,5.0,Mikael Granlund,"(0.0ft, 10.0ft)",Zach Parise
3670,2014020124_229,2014020124,229,30.0,6.0,Goal,Tip-In,-82.0,3.0,3,REGULAR,261,939,2014-10-29 01:08:15,2,3,"Zach Parise (4) Tip-In, assists: Mikael Granlund (4), Jared Spurgeon (4)",82.0,-3.0,right,8470610,Zach,Parise,LW,1984-07-28,20142015,7.615773105863909,Mikael Granlund,"(0.0ft, 10.0ft)",Zach Parise
5144,2017021214_221,2017021214,221,30.0,25.0,Goal,Tip-In,69.0,4.0,3,REGULAR,89,1111,2018-04-01 02:05:43,1,3,"Zach Parise (13) Tip-In, assists: Mikael Granlund (44), Jonas Brodin (13)",69.0,4.0,left,8470610,Zach,Parise,LW,1984-07-28,20172018,20.396078054371138,Mikael Granlund,"(20.0ft, 30.0ft)",Zach Parise
6804,2016020782_168,2016020782,168,30.0,23.0,Goal,Deflected,-79.0,-1.0,2,REGULAR,570,630,2017-02-05 04:31:20,4,2,"Zach Parise (10) Deflected, assists: Jared Spurgeon (17), Eric Staal (26)",79.0,1.0,right,8470610,Zach,Parise,LW,1984-07-28,20162017,10.04987562112089,Jared Spurgeon,"(10.0ft, 20.0ft)",Zach Parise
8033,2013020430_142,2013020430,142,30.0,16.0,Goal,Wrist Shot,84.0,3.0,2,REGULAR,1019,181,2013-12-06 02:25:34,0,2,"Zach Parise (12) Wrist Shot, assists: Dany Heatley (4), Jason Pominville (6)",84.0,3.0,left,8470610,Zach,Parise,LW,1984-07-28,20132014,5.830951894845301,Dany Heatley,"(0.0ft, 10.0ft)",Zach Parise
8402,2012030153_248,2012030153,248,30.0,16.0,Goal,Backhand,-77.0,-7.0,3,REGULAR,189,1011,2013-05-05 21:23:24,1,2,"Zach Parise (1) Backhand, assists: Charlie Coyle (2)",77.0,7.0,right,8470610,Zach,Parise,LW,1984-07-28,20122013,13.892443989449804,Charlie Coyle,"(10.0ft, 20.0ft)",Zach Parise
8514,2014030231_145,2014030231,145,30.0,16.0,Goal,Wrist Shot,-73.0,0.0,2,REGULAR,307,893,2015-05-02 02:48:25,2,3,"Zach Parise (4) Wrist Shot, assists: Thomas Vanek (4), Mikko Koivu (3)",73.0,0.0,right,8470610,Zach,Parise,LW,1984-07-28,20142015,16.0,Thomas Vanek,"(10.0ft, 20.0ft)",Zach Parise
8562,2013020162_61,2013020162,61,30.0,16.0,Goal,Wrist Shot,80.0,-1.0,1,REGULAR,759,441,2013-10-27 00:29:43,1,0,"Zach Parise (6) Wrist Shot, assists: Ryan Suter (6)",80.0,-1.0,left,8470610,Zach,Parise,LW,1984-07-28,20132014,9.055385138137417,Ryan Suter,"(0.0ft, 10.0ft)",Zach Parise
10459,2013021070_216,2013021070,216,30.0,17.0,Goal,Wrist Shot,82.0,-2.0,3,REGULAR,378,822,2014-03-24 01:36:28,3,2,"Zach Parise (24) Wrist Shot, assists: Mikael Granlund (31), Jared Spurgeon (18)",82.0,-2.0,left,8470610,Zach,Parise,LW,1984-07-28,20132014,7.280109889280518,Mikael Granlund,"(0.0ft, 10.0ft)",Zach Parise
10525,2014021175_60,2014021175,60,30.0,17.0,Goal,Tip-In,-82.0,-2.0,1,REGULAR,847,353,2015-04-04 23:30:41,0,1,"Zach Parise (31) Tip-In, assists: Mikael Granlund (29), Jason Pominville (34)",82.0,2.0,right,8470610,Zach,Parise,LW,1984-07-28,20142015,7.280109889280518,Mikael Granlund,"(0.0ft, 10.0ft)",Zach Parise
10535,2014020687_209,2014020687,209,30.0,17.0,Goal,Wrist Shot,79.0,4.0,3,REGULAR,361,839,2015-01-21 02:38:06,2,4,"Zach Parise (18) Wrist Shot, assists: Jason Pominville (29), Thomas Vanek (20)",79.0,4.0,left,8470610,Zach,Parise,LW,1984-07-28,20142015,10.770329614269007,Jason Pominville,"(10.0ft, 20.0ft)",Zach Parise
10536,2014020687_242,2014020687,242,30.0,17.0,Goal,Wrist Shot,82.0,0.0,3,REGULAR,801,399,2015-01-21 02:52:38,4,4,"Zach Parise (19) Wrist Shot, assists: none",82.0,0.0,left,8470610,Zach,Parise,LW,1984-07-28,20142015,7.0,None,"(0.0ft, 10.0ft)",Zach Parise
11508,2016020889_210,2016020889,210,30.0,16.0,Goal,Tip-In,-73.0,-14.0,3,REGULAR,401,799,2017-02-22 03:09:36,3,2,"Zach Parise (14) Tip-In, assists: Marco Scandella (6), Jason Pominville (28)",73.0,14.0,right,8470610,Zach,Parise,LW,1984-07-28,20162017,21.2602916254693,Marco Scandella,"(20.0ft, 30.0ft)",Zach Parise
11555,2016020801_139,2016020801,139,30.0,16.0,Goal,Wrist Shot,80.0,-3.0,2,REGULAR,435,765,2017-02-09 02:17:07,2,2,"Zach Parise (11) Wrist Shot, assists: Charlie Coyle (29), Jason Pominville (22)",80.0,-3.0,left,8470610,Zach,Parise,LW,1984-07-28,20162017,9.486832980505138,Charlie Coyle,"(0.0ft, 10.0ft)",Zach Parise
11987,2014020261_16,2014020261,16,30.0,52.0,Goal,Slap Shot,-54.0,21.0,1,REGULAR,251,949,2014-11-16 22:15:21,0,2,"Zach Parise (5) Slap Shot, assists: Mikko Koivu (3), Jason Pominville (6)",54.0,-21.0,right,8470610,Zach,Parise,LW,1984-07-28,20142015,40.8166632639171,Mikko Koivu,"(40.0ft, 50.0ft)",Zach Parise
11988,2014020261_75,2014020261,75,30.0,52.0,Goal,Backhand,-73.0,-1.0,1,REGULAR,1125,75,2014-11-16 22:43:45,0,3,"Zach Parise (6) Backhand, assists: Jared Spurgeon (5), Jason Pominville (7)",73.0,1.0,right,8470610,Zach,Parise,LW,1984-07-28,20142015,16.0312195418814,Jared Spurgeon,"(10.0ft, 20.0ft)",Zach Parise
12177,2013020342_276,2013020342,276,30.0,52.0,Goal,Snap Shot,76.0,-9.0,3,REGULAR,905,295,2013-11-23 22:21:50,2,2,"Zach Parise (11) Snap Shot, assists: Mikko Koivu (16), Ryan Suter (15)",76.0,-9.0,left,8470610,Zach,Parise,LW,1984-07-28,20132014,15.811388300841896,Mikko Koivu,"(10.0ft, 20.0ft)",Zach Parise
12460,2016020829_205,2016020829,205,30.0,17.0,Goal,Wrist Shot,-76.0,-1.0,3,REGULAR,239,961,2017-02-12 22:17:49,2,4,"Zach Parise (12) Wrist Shot, assists: Jason Pominville (25)",76.0,1.0,right,8470610,Zach,Parise,LW,1984-07-28,20162017,13.038404810405298,Jason Pominville,"(10.0ft, 20.0ft)",Zach Parise
12461,2016020829_243,2016020829,243,30.0,17.0,Goal,Wrist Shot,-78.0,-2.0,3,REGULAR,650,550,2017-02-12 22:33:58,3,6,"Zach Parise (13) Wrist Shot, assists: Eric Staal (28), Jared Spurgeon (19)",78.0,2.0,right,8470610,Zach,Parise,LW,1984-07-28,20162017,11.180339887498949,Eric Staal,"(10.0ft, 20.0ft)",Zach Parise
13154,2015021158_131,2015021158,131,30.0,9.0,Goal,Wrist Shot,79.0,-4.0,2,REGULAR,673,527,2016-04-01 01:16:16,1,1,"Zach Parise (25) Wrist Shot, assists: Marco Scandella (16), Matt Dumba (16)",79.0,-4.0,left,8470610,Zach,Parise,LW,1984-07-28,20152016,10.770329614269007,Marco Scandella,"(10.0ft, 20.0ft)",Zach Parise
14050,2014020387_136,2014020387,136,30.0,24.0,Goal,Snap Shot,66.0,22.0,2,REGULAR,310,890,2014-12-06 02:15:14,3,2,"Zach Parise (10) Snap Shot, assists: Mikael Granlund (9), Jonas Brodin (3)",66.0,22.0,left,8470610,Zach,Parise,LW,1984-07-28,20142015,31.827660925679098,Mikael Granlund,"(30.0ft, 40.0ft)",Zach Parise
14071,2014021016_165,2014021016,165,30.0,24.0,Goal,Backhand,86.0,1.0,2,REGULAR,691,509,2015-03-14 01:25:42,1,1,"Zach Parise (27) Backhand, assists: Thomas Vanek (27), Mikko Koivu (30)",86.0,1.0,left,8470610,Zach,Parise,LW,1984-07-28,20142015,3.1622776601683795,Thomas Vanek,"(0.0ft, 10.0ft)",Zach Parise
14177,2013020029_71,2013020029,71,30.0,24.0,Goal,Wrist Shot,-70.0,-4.0,1,REGULAR,712,488,2013-10-06 00:31:52,2,1,"Zach Parise (1) Wrist Shot, assists: Mikko Koivu (1), Ryan Suter (1)",70.0,4.0,right,8470610,Zach,Parise,LW,1984-07-28,20132014,19.4164878389476,Mikko Koivu,"(10.0ft, 20.0ft)",Zach Parise
14178,2013020029_224,2013020029,224,30.0,24.0,Goal,Wrist Shot,-81.0,-1.0,3,REGULAR,75,1125,2013-10-06 02:02:54,3,3,"Zach Parise (2) Wrist Shot, assists: Keith Ballard (1), Jonas Brodin (1)",81.0,1.0,right,8470610,Zach,Parise,LW,1984-07-28,20132014,8.06225774829855,Keith Ballard,"(0.0ft, 10.0ft)",Zach Parise
