,play_id,game_id,play_num,team_id_for,team_id_against,event,secondaryType,x,y,period,periodType,periodTime,periodTimeRemaining,dateTime,goals_away,goals_home,description,st_x,st_y,rink_side,player_id,firstName,lastName,primaryPosition,birthDate,season,distance,assist,distance_bin,fullName
81,2013020380_71,2013020380,71,3.0,6.0,Goal,Wrist Shot,-72.0,-5.0,1,REGULAR,784,416,2013-11-29 18:45:45,1,1,"Rick Nash (3) Wrist Shot, assists: Brad Richards (11), Carl Hagelin (6)",72.0,5.0,right,8470041,Rick,Nash,LW,1984-06-16,20132014,17.72004514666935,Brad Richards,"(15.0ft, 20.0ft)",Rick Nash
115,2017020824_28,2017020824,28,3.0,6.0,Goal,Wrist Shot,-73.0,13.0,1,REGULAR,300,900,2018-02-08 01:18:40,0,1,"Rick Nash (16) Wrist Shot, assists: none",73.0,-13.0,right,8470041,Rick,Nash,LW,1984-06-16,20172018,20.615528128088304,None,"(20.0ft, 25.0ft)",Rick Nash
365,2013030311_291,2013030311,291,3.0,8.0,Goal,Wrist Shot,76.0,-11.0,3,REGULAR,276,924,2014-05-17 19:20:03,7,1,"Rick Nash (1) Wrist Shot, assists: Mats Zuccarello (7), John Moore (1)",76.0,-11.0,left,8470041,Rick,Nash,LW,1984-06-16,20132014,17.029386365926403,Mats Zuccarello,"(15.0ft, 20.0ft)",Rick Nash
373,2013030312_133,2013030312,133,3.0,8.0,Goal,Snap Shot,66.0,-20.0,1,REGULAR,1138,62,2014-05-20 00:49:33,2,1,"Rick Nash (2) Snap Shot, assists: Chris Kreider (3), Derek Stepan (6)",66.0,-20.0,left,8470041,Rick,Nash,LW,1984-06-16,20132014,30.479501308256342,Chris Kreider,"(30.0ft, 35.0ft)",Rick Nash
443,2014020773_180,2014020773,180,3.0,18.0,Goal,Backhand,84.0,-2.0,2,REGULAR,709,491,2015-02-07 21:25:15,1,0,"Rick Nash (33) Backhand, assists: Derick Brassard (25), Kevin Hayes (12)",84.0,-2.0,left,8470041,Rick,Nash,LW,1984-06-16,20142015,5.385164807134504,Derick Brassard,"(5.0ft, 10.0ft)",Rick Nash
455,2014020816_291,2014020816,291,3.0,21.0,Goal,Wrist Shot,84.0,-8.0,3,REGULAR,942,258,2015-02-13 04:28:01,5,3,"Rick Nash (34) Wrist Shot, assists: J.T. Miller (6)",84.0,-8.0,left,8470041,Rick,Nash,LW,1984-06-16,20142015,9.433981132056603,J.T. Miller,"(5.0ft, 10.0ft)",Rick Nash
475,2016020346_148,2016020346,148,3.0,7.0,Goal,Backhand,81.0,3.0,2,REGULAR,495,705,2016-12-02 01:16:44,2,1,"Rick Nash (11) Backhand, assists: Jimmy Vesey (7), Adam Clendening (3)",81.0,3.0,left,8470041,Rick,Nash,LW,1984-06-16,20162017,8.54400374531753,Jimmy Vesey,"(5.0ft, 10.0ft)",Rick Nash
529,2013020948_281,2013020948,281,3.0,12.0,Goal,Deflected,83.0,-37.0,3,REGULAR,804,396,2014-03-08 02:23:02,2,2,"Rick Nash (20) Deflected, assists: Derek Stepan (31), John Moore (9)",83.0,-37.0,left,8470041,Rick,Nash,LW,1984-06-16,20132014,37.48332962798263,Derek Stepan,"(35.0ft, 40.0ft)",Rick Nash
535,2013021031_43,2013021031,43,3.0,9.0,Goal,Wrist Shot,-76.0,6.0,1,REGULAR,482,718,2014-03-18 23:49:50,1,1,"Rick Nash (21) Wrist Shot, assists: none",76.0,-6.0,right,8470041,Rick,Nash,LW,1984-06-16,20132014,14.317821063276353,None,"(10.0ft, 15.0ft)",Rick Nash
536,2013021031_318,2013021031,318,3.0,9.0,Goal,Wrist Shot,-70.0,6.0,3,REGULAR,1050,150,2014-03-19 01:56:52,8,4,"Rick Nash (22) Wrist Shot, assists: Chris Kreider (19), Dominic Moore (11)",70.0,-6.0,right,8470041,Rick,Nash,LW,1984-06-16,20132014,19.924858845171276,Chris Kreider,"(15.0ft, 20.0ft)",Rick Nash
