,play_id,game_id,play_num,team_id_for,team_id_against,event,secondaryType,x,y,period,periodType,periodTime,periodTimeRemaining,dateTime,goals_away,goals_home,description,st_x,st_y,rink_side,player_id,firstName,lastName,primaryPosition,birthDate,season,distance,assist,distance_bin,fullName
148,2012020591_208,2012020591,208,6.0,1.0,Goal,Tip-In,-81.0,-5.0,3,REGULAR,453,747,2013-04-11 01:44:32,5,3,"Tyler Seguin (13) Tip-In, assists: Daniel Paille (6), Dennis Seidenberg (12)",81.0,5.0,right,8475794,Tyler,Seguin,C,1992-01-31,20122013,9.433981132056603,Daniel Paille,"(5.0ft, 10.0ft)",Tyler Seguin
154,2012020380_64,2012020380,64,6.0,5.0,Goal,Wrist Shot,-72.0,-3.0,1,REGULAR,810,390,2013-03-13 00:03:09,2,0,"Tyler Seguin (9) Wrist Shot, assists: Patrice Bergeron (16), Brad Marchand (9)",72.0,3.0,right,8475794,Tyler,Seguin,C,1992-01-31,20122013,17.26267650163207,Patrice Bergeron,"(15.0ft, 20.0ft)",Tyler Seguin
301,2017020683_349,2017020683,349,25.0,6.0,Goal,Wrist Shot,78.0,-7.0,4,OVERTIME,179,121,2018-01-15 20:46:49,3,2,"Tyler Seguin (22) Wrist Shot, assists: John Klingberg (35), Jamie Benn (24)",78.0,-7.0,left,8475794,Tyler,Seguin,C,1992-01-31,20172018,13.038404810405298,John Klingberg,"(10.0ft, 15.0ft)",Tyler Seguin
669,2012030224_260,2012030224,260,6.0,3.0,Goal,Wrist Shot,84.0,7.0,3,REGULAR,486,714,2013-05-24 01:07:51,3,2,"Tyler Seguin (1) Wrist Shot, assists: Dougie Hamilton (3), Zdeno Chara (9)",84.0,7.0,left,8475794,Tyler,Seguin,C,1992-01-31,20122013,8.602325267042627,Dougie Hamilton,"(5.0ft, 10.0ft)",Tyler Seguin
1091,2017020103_240,2017020103,240,25.0,53.0,Goal,Wrist Shot,-78.0,-1.0,3,REGULAR,500,700,2017-10-20 04:10:04,4,3,"Tyler Seguin (4) Wrist Shot, assists: Jamie Benn (3), John Klingberg (4)",78.0,1.0,right,8475794,Tyler,Seguin,C,1992-01-31,20172018,11.045361017187261,Jamie Benn,"(10.0ft, 15.0ft)",Tyler Seguin
1092,2017020103_282,2017020103,282,25.0,53.0,Goal,Slap Shot,-56.0,23.0,3,REGULAR,1026,174,2017-10-20 04:28:26,5,3,"Tyler Seguin (5) Slap Shot, assists: Jamie Benn (4), John Klingberg (5)",56.0,-23.0,right,8475794,Tyler,Seguin,C,1992-01-31,20172018,40.22437072223753,Jamie Benn,"(40.0ft, 45.0ft)",Tyler Seguin
1812,2012020020_380,2012020020,380,6.0,52.0,Goal,Wrist Shot,70.0,3.0,5,SHOOTOUT,0,300,2013-01-21 20:51:07,1,1,Tyler Seguin - Wrist Shot,70.0,3.0,,8475794,Tyler,Seguin,C,1992-01-31,20122013,19.235384061671343,yler Seguin,"(15.0ft, 20.0ft)",Tyler Seguin
1831,2012020488_281,2012020488,281,6.0,8.0,Goal,Backhand,76.0,3.0,3,REGULAR,710,490,2013-03-28 01:53:32,3,5,"Tyler Seguin (11) Backhand, assists: Brad Marchand (14), Patrice Bergeron (21)",76.0,3.0,left,8475794,Tyler,Seguin,C,1992-01-31,20122013,13.341664064126334,Brad Marchand,"(10.0ft, 15.0ft)",Tyler Seguin
1856,2012020078_331,2012020078,331,6.0,1.0,Goal,Backhand,68.0,1.0,5,SHOOTOUT,0,300,2013-01-30 02:42:31,1,1,Tyler Seguin - Backhand,68.0,1.0,,8475794,Tyler,Seguin,C,1992-01-31,20122013,21.02379604162864,yler Seguin,"(20.0ft, 25.0ft)",Tyler Seguin
1867,2012020654_349,2012020654,349,6.0,5.0,Goal,Wrist Shot,81.0,4.0,3,REGULAR,1197,3,2013-04-20 19:13:55,3,2,"Tyler Seguin (16) Wrist Shot, assists: Zdeno Chara (12)",81.0,4.0,left,8475794,Tyler,Seguin,C,1992-01-31,20122013,8.94427190999916,Zdeno Chara,"(5.0ft, 10.0ft)",Tyler Seguin
