,play_id,game_id,play_num,team_id_for,team_id_against,event,secondaryType,x,y,period,periodType,periodTime,periodTimeRemaining,dateTime,goals_away,goals_home,description,st_x,st_y,rink_side,player_id,firstName,lastName,primaryPosition,birthDate,season
496,2012020143_137,2012020143,137,2.0,3.0,Goal,Snap Shot,-64.0,15.0,2,REGULAR,673,527,2013-02-08 01:18:12,1,2,"John Tavares (5) Snap Shot, assists: Matt Moulson (6), Joe Finley (1)",64.0,-15.0,right,8475166,John,Tavares,C,1990-09-20,20122013
1652,2017020696_280,2017020696,280,2.0,6.0,Goal,Wrist Shot,85.0,9.0,3,REGULAR,864,336,2018-01-19 02:26:07,4,2,"John Tavares (25) Wrist Shot, assists: Josh Bailey (39)",85.0,9.0,left,8475166,John,Tavares,C,1990-09-20,20172018
3075,2014020038_227,2014020038,227,2.0,3.0,Goal,Slap Shot,-69.0,-2.0,2,REGULAR,903,297,2014-10-15 00:36:51,2,2,"John Tavares (2) Slap Shot, assists: Nikolay Kulemin (2)",69.0,2.0,right,8475166,John,Tavares,C,1990-09-20,20142015
3450,2015020227_8,2015020227,8,2.0,28.0,Goal,Wrist Shot,-79.0,8.0,1,REGULAR,36,1164,2015-11-11 03:40:02,1,0,"John Tavares (6) Wrist Shot, assists: Brock Nelson (4), Nick Leddy (5)",79.0,-8.0,right,8475166,John,Tavares,C,1990-09-20,20152016
3451,2015020227_342,2015020227,342,2.0,28.0,Goal,Wrist Shot,-27.0,35.0,3,REGULAR,1195,5,2015-11-11 06:05:50,4,2,"John Tavares (7) Wrist Shot, assists: Brock Nelson (5), Travis Hamonic (3)",27.0,-35.0,right,8475166,John,Tavares,C,1990-09-20,20152016
3497,2014021191_173,2014021191,173,2.0,4.0,Goal,Tip-In,-81.0,-4.0,2,REGULAR,574,626,2015-04-08 00:22:44,1,2,"John Tavares (36) Tip-In, assists: Ryan Strome (33), Nick Leddy (24)",81.0,4.0,right,8475166,John,Tavares,C,1990-09-20,20142015
3525,2016020078_135,2016020078,135,2.0,30.0,Goal,Snap Shot,-64.0,-1.0,2,REGULAR,263,937,2016-10-23 23:10:35,1,1,"John Tavares (2) Snap Shot, assists: Josh Bailey (3), Jason Chimera (3)",64.0,1.0,right,8475166,John,Tavares,C,1990-09-20,20162017
3526,2016020078_312,2016020078,312,2.0,30.0,Goal,Wrist Shot,52.0,-18.0,3,REGULAR,1097,103,2016-10-24 00:36:14,3,6,"John Tavares (3) Wrist Shot, assists: Andrew Ladd (1), Josh Bailey (4)",52.0,-18.0,left,8475166,John,Tavares,C,1990-09-20,20162017
3532,2017021200_242,2017021200,242,2.0,10.0,Goal,Wrist Shot,82.0,-8.0,3,REGULAR,388,812,2018-03-31 01:09:50,4,4,"John Tavares (34) Wrist Shot, assists: Anders Lee (22), Jordan Eberle (32)",82.0,-8.0,left,8475166,John,Tavares,C,1990-09-20,20172018
3659,2017020891_373,2017020891,373,2.0,12.0,Goal,Wrist Shot,67.0,-23.0,3,REGULAR,1168,32,2018-02-17 03:01:07,3,0,"John Tavares (30) Wrist Shot, assists: none",67.0,-23.0,left,8475166,John,Tavares,C,1990-09-20,20172018
4163,2013020602_231,2013020602,231,2.0,6.0,Goal,Wrist Shot,-91.0,18.0,3,REGULAR,32,1168,2014-01-01 02:04:14,4,3,"John Tavares (15) Wrist Shot, assists: Thomas Vanek (18), Thomas Hickey (8)",91.0,-18.0,right,8475166,John,Tavares,C,1990-09-20,20132014
4164,2013020602_305,2013020602,305,2.0,6.0,Goal,Slap Shot,-69.0,-17.0,3,REGULAR,797,403,2014-01-01 02:31:06,5,3,"John Tavares (16) Slap Shot, assists: Andrew MacDonald (14), Kyle Okposo (25)",69.0,17.0,right,8475166,John,Tavares,C,1990-09-20,20132014
4350,2012020191_158,2012020191,158,2.0,3.0,Goal,Snap Shot,-75.0,-8.0,2,REGULAR,405,795,2013-02-15 01:15:14,2,2,"John Tavares (8) Snap Shot, assists: none",75.0,8.0,right,8475166,John,Tavares,C,1990-09-20,20122013
4351,2012020191_391,2012020191,391,2.0,3.0,Goal,Snap Shot,78.0,4.0,5,SHOOTOUT,0,300,2013-02-15 02:56:52,3,3,John Tavares - Snap Shot,78.0,4.0,,8475166,John,Tavares,C,1990-09-20,20122013
7033,2014020775_65,2014020775,65,2.0,6.0,Goal,Slap Shot,-65.0,-12.0,1,REGULAR,546,654,2015-02-08 00:27:33,1,0,"John Tavares (24) Slap Shot, assists: Frans Nielsen (19), Travis Hamonic (12)",65.0,12.0,right,8475166,John,Tavares,C,1990-09-20,20142015
9290,2017020718_324,2017020718,324,2.0,16.0,Goal,Snap Shot,54.0,7.0,3,REGULAR,630,570,2018-01-21 03:54:52,7,3,"John Tavares (26) Snap Shot, assists: Josh Bailey (41)",54.0,7.0,left,8475166,John,Tavares,C,1990-09-20,20172018
9482,2017021158_245,2017021158,245,2.0,16.0,Goal,Backhand,82.0,7.0,3,REGULAR,1038,162,2018-03-25 00:00:00,2,1,"John Tavares (33) Backhand, assists: Anders Lee (21), Thomas Hickey (17)",82.0,7.0,left,8475166,John,Tavares,C,1990-09-20,20172018
9941,2015030211_152,2015030211,152,2.0,14.0,Goal,Wrist Shot,65.0,11.0,2,REGULAR,539,661,2016-04-28 00:23:19,4,1,"John Tavares (6) Wrist Shot, assists: Kyle Okposo (6), Frans Nielsen (2)",65.0,11.0,left,8475166,John,Tavares,C,1990-09-20,20152016
12095,2016020962_144,2016020962,144,2.0,20.0,Goal,Snap Shot,-66.0,-10.0,2,REGULAR,510,690,2017-03-05 22:18:48,1,4,"John Tavares (24) Snap Shot, assists: Josh Bailey (33), Scott Mayfield (4)",66.0,10.0,right,8475166,John,Tavares,C,1990-09-20,20162017
